iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Parietal 	 Parietal_Inf_L 	 47.03 	 2.50 	 277 
	 Parietal 	 Angular_L 	 45.03 	 2.31 	 136 
	 Temporal 	 Temporal_Sup_L 	 42.90 	 3.03 	 263 
	 Parietal 	 SupraMarginal_L 	 36.75 	 2.46 	 111 
	 Parietal 	 SupraMarginal_R 	 36.53 	 2.54 	 175 
	 Limbic 	 Insula_L 	 34.53 	 2.83 	 164 
	 Temporal 	 Temporal_Sup_R 	 33.58 	 2.72 	 270 
	 Limbic 	 Insula_R 	 31.16 	 2.78 	 129 
	 Frontal 	 Frontal_Inf_Oper_L 	 29.26 	 2.12 	 67 
	 Parietal 	 Postcentral_L 	 22.54 	 2.38 	 179 
	 Parietal 	 Parietal_Inf_R 	 20.64 	 2.13 	 71 
	 Limbic 	 Cingulum_Mid_L 	 20.31 	 2.23 	 106 
	 Temporal 	 Temporal_Mid_R 	 20.07 	 2.63 	 237 
	 Parietal 	 Paracentral_Lobule_L 	 17.74 	 2.36 	 44 
	 Parietal 	 Postcentral_R 	 17.13 	 2.08 	 142 
	 Temporal 	 Temporal_Mid_L 	 16.26 	 2.41 	 198 
	 Limbic 	 Cingulum_Mid_R 	 14.41 	 2.16 	 80 
	 Parietal 	 Parietal_Sup_L 	 14.12 	 2.13 	 61 
	 Limbic 	 ParaHippocampal_R 	 12.87 	 2.20 	 35 
	 Frontal 	 Supp_Motor_Area_R 	 12.82 	 1.88 	 61 
	 Frontal 	 Precentral_L 	 11.55 	 2.36 	 79 

13	 Parietal 	 Angular_R 	 60.53 	 3.67 	 253 
	 Parietal 	 Parietal_Inf_R 	 56.69 	 3.60 	 195 
	 Parietal 	 SupraMarginal_R 	 40.29 	 2.79 	 193 
	 Frontal 	 Frontal_Mid_Orb_R 	 22.31 	 2.05 	 56 
	 Temporal 	 Temporal_Mid_R 	 21.00 	 2.41 	 248 
	 Limbic 	 ParaHippocampal_R 	 20.59 	 2.82 	 56 
	 Temporal 	 Temporal_Inf_L 	 20.33 	 2.84 	 160 
	 Parietal 	 Angular_L 	 20.20 	 2.21 	 61 
	 Parietel 	 Parietal_Sup_R 	 18.63 	 2.44 	 76 
	 Occipital 	 Fusiform_L 	 18.04 	 2.47 	 112 
	 Occipital 	 Fusiform_R 	 17.75 	 3.01 	 123 
	 Temporal 	 Temporal_Mid_L 	 17.08 	 2.46 	 208 
	 Parietal 	 Parietal_Inf_L 	 16.81 	 2.30 	 99 
	 Subcortical 	 Caudate_L 	 16.58 	 2.36 	 31 
	 Frontal 	 Frontal_Mid_R 	 16.11 	 2.33 	 180 
	 Temporal 	 Temporal_Pole_Mid_R 	 15.58 	 2.20 	 36 
	 Temporal 	 Temporal_Sup_R 	 14.43 	 2.55 	 116 
	 Frontal 	 Precentral_R 	 14.14 	 2.32 	 99 
	 Temporal 	 Temporal_Inf_R 	 13.31 	 2.43 	 127 
	 Frontal 	 Frontal_Sup_R 	 13.07 	 2.47 	 95 
	 Subcortical 	 Thalamus_R 	 13.04 	 2.39 	 21 
	 Occipital 	 Occipital_Mid_R 	 12.64 	 2.46 	 66 
	 Frontal 	 Frontal_Inf_Orb_R 	 12.59 	 2.12 	 53 
	 Limbic 	 Hippocampus_L 	 11.96 	 2.20 	 22 
	 Frontal 	 Frontal_Mid_Orb_L 	 11.62 	 2.44 	 23 
	 Frontal 	 Frontal_Sup_Orb_L 	 11.30 	 2.56 	 27 
	 Frontal 	 Frontal_Sup_Medial_R 	 10.49 	 2.00 	 43 
	 Limbic 	 Cingulum_Mid_L 	 10.34 	 2.00 	 54 

14	 Temporal 	 Temporal_Pole_Mid_R 	 85.28 	 4.55 	 197 
	 Frontal 	 Frontal_Sup_Orb_R 	 39.48 	 2.90 	 92 
	 Temporal 	 Temporal_Pole_Mid_L 	 38.98 	 2.66 	 69 
	 Temporal 	 Temporal_Inf_R 	 37.11 	 4.35 	 354 
	 Temporal 	 Temporal_Inf_L 	 34.31 	 2.67 	 270 
	 Temporal 	 Temporal_Pole_Sup_R 	 33.60 	 2.63 	 83 
	 Limbic 	 Amygdala_R 	 29.63 	 2.52 	 16 
	 Limbic 	 Hippocampus_R 	 27.75 	 2.41 	 53 
	 Limbic 	 ParaHippocampal_R 	 26.47 	 3.67 	 72 
	 Frontal 	 Frontal_Mid_Orb_L 	 21.21 	 2.40 	 42 
	 Limbic 	 Hippocampus_L 	 21.20 	 2.19 	 39 
	 Occipital 	 Fusiform_R 	 20.06 	 4.76 	 139 
	 Frontal 	 Frontal_Sup_Orb_L 	 19.67 	 2.15 	 47 
	 Frontal 	 Frontal_Mid_Orb_R 	 19.52 	 2.65 	 49 
	 Frontal 	 Rectus_L 	 19.32 	 2.37 	 40 
	 Frontal 	 Frontal_Inf_Orb_L 	 18.81 	 2.24 	 82 
	 Limbic 	 ParaHippocampal_L 	 17.30 	 2.34 	 41 
	 Frontal 	 Rectus_R 	 17.28 	 3.09 	 33 
	 Temporal 	 Temporal_Mid_R 	 16.17 	 3.92 	 191 
	 Subcortical 	 Thalamus_R 	 16.15 	 2.09 	 26 
	 Occipital 	 Fusiform_L 	 15.62 	 2.98 	 97 
	 Subcortical 	 Thalamus_L 	 12.03 	 2.30 	 16 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 11.86 	 2.11 	 21 
	 Temporal 	 Temporal_Mid_L 	 11.74 	 2.58 	 143 
	 Frontal 	 Frontal_Inf_Orb_R 	 11.16 	 2.08 	 47 

15	 Occipital 	 Occipital_Inf_R 	 29.58 	 2.28 	 84 
	 Temporal 	 Temporal_Mid_L 	 29.47 	 3.27 	 359 
	 Subcortical 	 Caudate_R 	 29.14 	 1.99 	 51 
	 Limbic 	 ParaHippocampal_L 	 29.11 	 2.18 	 69 
	 Frontal 	 Precentral_L 	 28.65 	 2.30 	 196 
	 Frontal 	 Frontal_Inf_Oper_L 	 26.20 	 2.76 	 60 
	 Occipital 	 Calcarine_R 	 25.45 	 2.20 	 113 
	 Occipital 	 Occipital_Inf_L 	 24.69 	 2.25 	 59 
	 Limbic 	 Hippocampus_L 	 22.83 	 2.24 	 42 
	 Parietal 	 Angular_L 	 21.19 	 2.08 	 64 
	 Occipital 	 Occipital_Mid_L 	 21.11 	 2.24 	 179 
	 Occipital 	 Fusiform_R 	 20.35 	 2.41 	 141 
	 Frontal 	 Frontal_Sup_Medial_R 	 19.51 	 2.23 	 80 
	 Temporal 	 Heschl_L 	 19.44 	 2.30 	 14 
	 Temporal 	 Temporal_Mid_R 	 19.22 	 2.41 	 227 
	 Frontal 	 Frontal_Inf_Oper_R 	 18.83 	 2.36 	 61 
	 Frontal 	 Frontal_Sup_L 	 17.73 	 2.15 	 108 
	 Temporal 	 Temporal_Sup_R 	 17.41 	 2.19 	 140 
	 Parietal 	 Postcentral_L 	 17.38 	 2.06 	 138 
	 Limbic 	 Cingulum_Ant_R 	 17.20 	 1.98 	 65 
	 Parietal 	 Parietal_Inf_L 	 16.81 	 1.97 	 99 
	 Subcortical 	 Caudate_L 	 16.58 	 2.36 	 31 
	 Temporal 	 Temporal_Inf_L 	 16.26 	 2.15 	 128 
	 Frontal 	 Frontal_Mid_L 	 16.24 	 2.16 	 154 
	 Frontal 	 Frontal_Sup_Medial_L 	 16.23 	 2.37 	 81 
	 Occipital 	 Occipital_Mid_R 	 15.71 	 2.33 	 82 
	 Occipital 	 Fusiform_L 	 15.62 	 2.15 	 97 
	 Central 	 Rolandic_Oper_R 	 15.52 	 2.03 	 45 
	 Occipital 	 Calcarine_L 	 15.33 	 2.11 	 86 
	 Limbic 	 ParaHippocampal_R 	 13.97 	 2.94 	 38 
	 Frontal 	 Supp_Motor_Area_L 	 13.73 	 2.16 	 64 
	 Frontal 	 Frontal_Mid_Orb_L 	 12.63 	 2.46 	 25 
	 Parietal 	 SupraMarginal_L 	 12.58 	 2.24 	 38 
	 Temporal 	 Temporal_Sup_L 	 11.91 	 2.09 	 73 
	 Subcortical 	 Thalamus_R 	 11.18 	 2.25 	 18 
	 Central 	 Rolandic_Oper_L 	 11.16 	 2.10 	 25 
	 Limbic 	 Amygdala_R 	 11.11 	 2.11 	 6 
	 Occipital 	 Occipital_Sup_L 	 10.93 	 2.31 	 33 
	 Frontal 	 Frontal_Sup_Orb_L 	 10.88 	 2.44 	 26 
	 Parietal 	 Angular_R 	 10.77 	 2.01 	 45 

16	 Limbic 	 Cingulum_Mid_L 	 49.23 	 3.25 	 257 
	 Frontal 	 Frontal_Sup_Medial_L 	 46.69 	 2.89 	 233 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 37.29 	 2.37 	 66 
	 Parietal 	 Paracentral_Lobule_R 	 34.59 	 2.27 	 46 
	 Limbic 	 Cingulum_Mid_R 	 32.79 	 2.73 	 182 
	 Subcortical 	 Putamen_L 	 30.37 	 2.20 	 58 
	 Parietal 	 Postcentral_R 	 29.55 	 2.41 	 245 
	 Frontal 	 Frontal_Mid_Orb_L 	 27.78 	 2.23 	 55 
	 Frontal 	 Rectus_R 	 26.70 	 2.07 	 51 
	 Frontal 	 Frontal_Sup_Orb_R 	 26.18 	 2.41 	 61 
	 Frontal 	 Supp_Motor_Area_L 	 26.18 	 2.52 	 122 
	 Parietal 	 SupraMarginal_R 	 25.89 	 2.47 	 124 
	 Occipital 	 Occipital_Mid_L 	 25.12 	 2.26 	 213 
	 Frontal 	 Supp_Motor_Area_R 	 24.79 	 2.50 	 118 
	 Frontal 	 Frontal_Sup_Medial_R 	 24.15 	 2.26 	 99 
	 Parietal 	 Postcentral_L 	 24.06 	 2.47 	 191 
	 Limbic 	 Cingulum_Ant_L 	 24.03 	 2.60 	 93 
	 Temporal 	 Temporal_Pole_Mid_R 	 23.81 	 2.03 	 55 
	 Parietal 	 SupraMarginal_L 	 21.52 	 2.17 	 65 
	 Frontal 	 Frontal_Sup_Orb_L 	 20.92 	 2.27 	 50 
	 Temporal 	 Temporal_Sup_R 	 20.77 	 2.17 	 167 
	 Parietal 	 Paracentral_Lobule_L 	 20.16 	 2.71 	 50 
	 Parietal 	 Parietal_Sup_L 	 20.14 	 2.41 	 87 
	 Frontal 	 Frontal_Sup_L 	 20.03 	 2.28 	 122 
	 Frontal 	 Frontal_Mid_Orb_R 	 19.12 	 2.76 	 48 
	 Temporal 	 Heschl_R 	 18.31 	 2.58 	 13 
	 Frontal 	 Frontal_Inf_Orb_R 	 17.81 	 2.26 	 75 
	 Central 	 Rolandic_Oper_R 	 17.24 	 2.47 	 50 
	 Occipital 	 Calcarine_L 	 17.11 	 1.99 	 96 
	 Limbic 	 Insula_L 	 15.58 	 2.06 	 74 
	 Frontal 	 Frontal_Mid_L 	 15.40 	 2.22 	 146 
	 Occipital 	 Calcarine_R 	 15.09 	 2.20 	 67 
	 Subcortical 	 Caudate_L 	 14.97 	 2.01 	 28 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 14.55 	 2.31 	 32 
	 Frontal 	 Frontal_Inf_Orb_L 	 13.76 	 2.05 	 60 
	 Frontal 	 Precentral_R 	 13.71 	 2.26 	 96 
	 Frontal 	 Rectus_L 	 13.04 	 2.13 	 27 
	 Subcortical 	 Pallidum_L 	 11.76 	 2.24 	 4 

17	 Limbic 	 Cingulum_Post_R 	 62.50 	 2.60 	 25 
	 Limbic 	 Cingulum_Mid_L 	 57.09 	 3.06 	 298 
	 Limbic 	 Cingulum_Post_L 	 53.26 	 2.42 	 49 
	 Limbic 	 Cingulum_Mid_R 	 51.35 	 2.88 	 285 
	 Frontal 	 Frontal_Inf_Oper_R 	 47.22 	 2.52 	 153 
	 Occipital 	 Calcarine_R 	 40.54 	 2.15 	 180 
	 Frontal 	 Supp_Motor_Area_L 	 34.12 	 2.44 	 159 
	 Frontal 	 Supp_Motor_Area_R 	 29.62 	 2.38 	 141 
	 Frontal 	 Frontal_Mid_R 	 26.23 	 2.56 	 293 
	 Frontal 	 Frontal_Sup_R 	 26.00 	 2.59 	 189 
	 Subcortical 	 Thalamus_R 	 24.22 	 2.16 	 39 
	 Frontal 	 Precentral_L 	 23.39 	 2.44 	 160 
	 Occipital 	 Calcarine_L 	 22.28 	 2.12 	 125 
	 Frontal 	 Frontal_Sup_L 	 21.02 	 2.58 	 128 
	 Temporal 	 Heschl_L 	 19.44 	 2.17 	 14 
	 Frontal 	 Precentral_R 	 18.57 	 2.25 	 130 
	 Frontal 	 Frontal_Mid_L 	 17.51 	 2.45 	 166 
	 Limbic 	 Hippocampus_L 	 17.39 	 2.00 	 32 
	 Occipital 	 Lingual_L 	 16.73 	 2.15 	 93 
	 Occipital 	 Occipital_Inf_R 	 16.55 	 1.88 	 47 
	 Frontal 	 Frontal_Inf_Tri_R 	 16.06 	 2.13 	 70 
	 Occipital 	 Occipital_Mid_R 	 14.94 	 2.03 	 78 
	 Parietal 	 Precuneus_R 	 14.83 	 2.39 	 105 
	 Limbic 	 Cingulum_Ant_L 	 14.47 	 2.75 	 56 
	 Frontal 	 Frontal_Sup_Medial_L 	 14.43 	 2.48 	 72 
	 Limbic 	 ParaHippocampal_L 	 14.35 	 2.05 	 34 
	 Limbic 	 Cingulum_Ant_R 	 14.02 	 3.34 	 53 
	 Parietal 	 Postcentral_L 	 12.09 	 2.04 	 96 
	 Temporal 	 Temporal_Mid_R 	 11.94 	 2.05 	 141 
	 Occipital 	 Lingual_R 	 10.73 	 1.99 	 59 
	 Temporal 	 Temporal_Inf_R 	 10.17 	 2.16 	 97 

18	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 52.54 	 3.57 	 93 
	 Limbic 	 Hippocampus_L 	 48.37 	 2.47 	 89 
	 Limbic 	 Cingulum_Post_L 	 43.48 	 2.54 	 40 
	 Subcortical 	 Caudate_R 	 38.29 	 3.14 	 67 
	 Limbic 	 Hippocampus_R 	 37.17 	 2.33 	 71 
	 Subcortical 	 Caudate_L 	 36.36 	 2.38 	 68 
	 Frontal 	 Olfactory_R 	 33.93 	 2.57 	 19 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 33.18 	 2.49 	 73 
	 Temporal 	 Temporal_Inf_L 	 32.15 	 2.82 	 253 
	 Limbic 	 ParaHippocampal_R 	 30.15 	 2.72 	 82 
	 Frontal 	 Frontal_Sup_Medial_R 	 25.12 	 2.87 	 103 
	 Occipital 	 Occipital_Inf_L 	 25.10 	 2.22 	 60 
	 Frontal 	 Frontal_Sup_Medial_L 	 24.25 	 2.68 	 121 
	 Frontal 	 Rectus_L 	 24.15 	 2.62 	 50 
	 Frontal 	 Rectus_R 	 23.04 	 2.44 	 44 
	 Limbic 	 Cingulum_Post_R 	 22.50 	 2.14 	 9 
	 Occipital 	 Occipital_Mid_L 	 21.93 	 2.56 	 186 
	 Occipital 	 Occipital_Inf_R 	 21.13 	 3.30 	 60 
	 Occipital 	 Fusiform_R 	 20.35 	 2.71 	 141 
	 Temporal 	 Temporal_Pole_Mid_R 	 20.35 	 2.62 	 47 
	 Limbic 	 Cingulum_Ant_R 	 19.31 	 2.32 	 73 
	 Limbic 	 Cingulum_Ant_L 	 19.12 	 2.75 	 74 
	 Frontal 	 Frontal_Sup_Orb_R 	 18.45 	 2.45 	 43 
	 Subcortical 	 Putamen_L 	 17.28 	 2.13 	 33 
	 Parietal 	 Parietal_Inf_L 	 15.28 	 2.04 	 90 
	 Limbic 	 ParaHippocampal_L 	 15.19 	 2.55 	 36 
	 Temporal 	 Temporal_Pole_Mid_L 	 14.69 	 2.84 	 26 
	 Frontal 	 Frontal_Sup_Orb_L 	 14.64 	 2.41 	 35 
	 Parietal 	 Precuneus_L 	 14.42 	 2.13 	 119 
	 Frontal 	 Frontal_Inf_Tri_R 	 13.76 	 2.17 	 60 
	 Temporal 	 Temporal_Inf_R 	 13.52 	 2.53 	 129 
	 Temporal 	 Temporal_Mid_L 	 12.48 	 2.38 	 152 
	 Occipital 	 Fusiform_L 	 12.08 	 2.56 	 75 
	 Temporal 	 Temporal_Mid_R 	 12.02 	 2.28 	 142 
	 Frontal 	 Frontal_Mid_L 	 11.81 	 2.20 	 112 
	 Frontal 	 Frontal_Inf_Tri_L 	 11.68 	 2.37 	 59 
	 Limbic 	 Amygdala_R 	 11.11 	 2.28 	 6 
	 Parietal 	 SupraMarginal_R 	 10.86 	 2.27 	 52 
	 Frontal 	 Frontal_Sup_L 	 10.18 	 2.23 	 62 
	 Occipital 	 Calcarine_L 	 10.16 	 2.20 	 57 
	 Limbic 	 Insula_R 	 10.14 	 2.12 	 42 

19	 Subcortical 	 Thalamus_R 	 62.11 	 2.73 	 100 
	 Subcortical 	 Putamen_R 	 48.44 	 2.41 	 109 
	 Limbic 	 Insula_R 	 47.34 	 3.59 	 196 
	 Subcortical 	 Thalamus_L 	 45.86 	 2.81 	 61 
	 Subcortical 	 Caudate_R 	 44.00 	 2.42 	 77 
	 Central 	 Rolandic_Oper_R 	 41.38 	 3.27 	 120 
	 Subcortical 	 Putamen_L 	 41.36 	 2.67 	 79 
	 Subcortical 	 Pallidum_R 	 36.84 	 2.90 	 7 
	 Limbic 	 Hippocampus_R 	 35.60 	 2.95 	 68 
	 Central 	 Rolandic_Oper_L 	 34.38 	 2.88 	 77 
	 Limbic 	 Insula_L 	 33.26 	 2.80 	 158 
	 Temporal 	 Heschl_L 	 30.56 	 2.18 	 22 
	 Limbic 	 Cingulum_Ant_R 	 30.42 	 2.88 	 115 
	 Limbic 	 Cingulum_Ant_L 	 29.72 	 2.76 	 115 
	 Limbic 	 ParaHippocampal_R 	 28.31 	 3.12 	 77 
	 Limbic 	 Hippocampus_L 	 27.72 	 2.52 	 51 
	 Limbic 	 Amygdala_L 	 27.45 	 2.26 	 14 
	 Temporal 	 Heschl_R 	 26.76 	 2.60 	 19 
	 Subcortical 	 Caudate_L 	 26.20 	 2.60 	 49 
	 Limbic 	 ParaHippocampal_L 	 23.63 	 2.65 	 56 
	 Subcortical 	 Pallidum_L 	 23.53 	 2.44 	 8 
	 Occipital 	 Fusiform_R 	 22.51 	 3.07 	 156 
	 Frontal 	 Frontal_Inf_Oper_R 	 21.30 	 2.28 	 69 
	 Temporal 	 Temporal_Inf_R 	 19.39 	 2.50 	 185 
	 Limbic 	 Cingulum_Mid_L 	 18.97 	 2.35 	 99 
	 Occipital 	 Occipital_Inf_L 	 17.99 	 2.61 	 43 
	 Occipital 	 Fusiform_L 	 16.43 	 2.28 	 102 
	 Frontal 	 Frontal_Inf_Oper_L 	 13.97 	 1.97 	 32 
	 Parietal 	 SupraMarginal_L 	 13.91 	 2.32 	 42 
	 Occipital 	 Lingual_L 	 13.67 	 2.43 	 76 
	 Frontal 	 Olfactory_L 	 13.24 	 2.20 	 9 
	 Limbic 	 Cingulum_Mid_R 	 13.15 	 2.07 	 73 
	 Limbic 	 Amygdala_R 	 12.96 	 1.99 	 7 
	 Temporal 	 Temporal_Sup_L 	 11.09 	 2.29 	 68 
	 Frontal 	 Supp_Motor_Area_L 	 10.52 	 1.98 	 49 

20	 Frontal 	 Frontal_Sup_Orb_L 	 48.54 	 3.80 	 116 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 42.37 	 2.24 	 75 
	 Frontal 	 Rectus_L 	 42.03 	 2.60 	 87 
	 Temporal 	 Temporal_Pole_Mid_L 	 37.85 	 2.78 	 67 
	 Occipital 	 Occipital_Inf_L 	 36.40 	 2.41 	 87 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 32.27 	 2.54 	 71 
	 Frontal 	 Frontal_Mid_Orb_L 	 27.27 	 2.91 	 54 
	 Parietal 	 Postcentral_R 	 22.92 	 2.39 	 190 
	 Parietel 	 Parietal_Sup_R 	 22.79 	 2.62 	 93 
	 Frontal 	 Rectus_R 	 22.51 	 3.68 	 43 
	 Limbic 	 Cingulum_Ant_R 	 21.96 	 2.40 	 83 
	 Limbic 	 Cingulum_Ant_L 	 21.45 	 2.33 	 83 
	 Subcortical 	 Caudate_R 	 21.14 	 2.33 	 37 
	 Occipital 	 Fusiform_L 	 20.93 	 2.73 	 130 
	 Occipital 	 Occipital_Inf_R 	 20.77 	 2.20 	 59 
	 Frontal 	 Frontal_Sup_Medial_R 	 20.73 	 2.37 	 85 
	 Occipital 	 Occipital_Mid_L 	 19.93 	 2.45 	 169 
	 Frontal 	 Frontal_Sup_Orb_R 	 18.88 	 3.33 	 44 
	 Occipital 	 Occipital_Mid_R 	 18.58 	 2.27 	 97 
	 Frontal 	 Precentral_L 	 16.52 	 2.56 	 113 
	 Temporal 	 Temporal_Mid_L 	 15.76 	 2.28 	 192 
	 Occipital 	 Lingual_L 	 15.47 	 2.28 	 86 
	 Occipital 	 Lingual_R 	 14.91 	 2.30 	 82 
	 Frontal 	 Frontal_Inf_Oper_L 	 14.85 	 2.57 	 34 
	 Temporal 	 Temporal_Pole_Sup_L 	 14.29 	 2.47 	 33 
	 Temporal 	 Temporal_Inf_L 	 14.10 	 2.70 	 111 
	 Frontal 	 Frontal_Sup_Medial_L 	 13.63 	 2.16 	 68 
	 Occipital 	 Occipital_Sup_R 	 13.53 	 2.73 	 46 
	 Limbic 	 ParaHippocampal_L 	 13.50 	 2.51 	 32 
	 Occipital 	 Occipital_Sup_L 	 13.25 	 2.11 	 40 
	 Limbic 	 Hippocampus_R 	 13.09 	 2.17 	 25 
	 Frontal 	 Precentral_R 	 13.00 	 2.52 	 91 
	 Frontal 	 Frontal_Mid_Orb_R 	 12.75 	 3.16 	 32 
	 Temporal 	 Heschl_R 	 12.68 	 2.06 	 9 
	 Frontal 	 Olfactory_R 	 12.50 	 2.13 	 7 
	 Occipital 	 Calcarine_L 	 11.94 	 2.47 	 67 
	 Frontal 	 Frontal_Sup_R 	 11.55 	 2.43 	 84 
	 Parietal 	 Paracentral_Lobule_R 	 11.28 	 2.43 	 15 
	 Frontal 	 Frontal_Inf_Orb_L 	 10.78 	 2.39 	 47 
	 Central 	 Rolandic_Oper_R 	 10.69 	 2.20 	 31 
	 Parietal 	 Angular_L 	 10.60 	 2.02 	 32 
	 Occipital 	 Fusiform_R 	 10.10 	 2.03 	 70 

21	 Temporal 	 Heschl_L 	 47.22 	 2.57 	 34 
	 Temporal 	 Heschl_R 	 43.66 	 2.97 	 31 
	 Parietal 	 Parietal_Sup_L 	 41.44 	 2.70 	 179 
	 Parietal 	 Parietal_Inf_L 	 40.92 	 2.54 	 241 
	 Occipital 	 Calcarine_L 	 37.61 	 2.66 	 211 
	 Limbic 	 Cingulum_Post_R 	 35.00 	 2.56 	 14 
	 Occipital 	 Occipital_Mid_L 	 30.19 	 3.03 	 256 
	 Parietal 	 SupraMarginal_L 	 29.14 	 2.85 	 88 
	 Occipital 	 Occipital_Mid_R 	 27.78 	 3.15 	 145 
	 Occipital 	 Cuneus_L 	 27.01 	 2.79 	 104 
	 Limbic 	 Cingulum_Post_L 	 26.09 	 2.26 	 24 
	 Frontal 	 Frontal_Inf_Oper_L 	 25.33 	 2.42 	 58 
	 Occipital 	 Calcarine_R 	 25.00 	 2.23 	 111 
	 Parietal 	 Angular_R 	 24.88 	 2.41 	 104 
	 Central 	 Rolandic_Oper_R 	 24.83 	 2.86 	 72 
	 Frontal 	 Frontal_Inf_Oper_R 	 24.07 	 2.60 	 78 
	 Parietal 	 SupraMarginal_R 	 24.01 	 2.32 	 115 
	 Central 	 Rolandic_Oper_L 	 22.77 	 2.83 	 51 
	 Parietal 	 Parietal_Inf_R 	 22.09 	 2.22 	 76 
	 Parietal 	 Postcentral_L 	 21.66 	 3.04 	 172 
	 Occipital 	 Occipital_Sup_L 	 21.19 	 2.65 	 64 
	 Temporal 	 Temporal_Sup_L 	 20.55 	 2.84 	 126 
	 Parietal 	 Angular_L 	 19.87 	 2.25 	 60 
	 Limbic 	 Cingulum_Mid_R 	 16.76 	 2.22 	 93 
	 Occipital 	 Lingual_R 	 15.82 	 2.19 	 87 
	 Frontal 	 Precentral_L 	 14.47 	 2.57 	 99 
	 Limbic 	 Cingulum_Mid_L 	 13.98 	 2.29 	 73 
	 Temporal 	 Temporal_Sup_R 	 13.06 	 2.48 	 105 
	 Frontal 	 Frontal_Inf_Tri_L 	 12.08 	 2.42 	 61 
	 Limbic 	 Cingulum_Ant_R 	 11.11 	 2.27 	 42 
	 Frontal 	 Frontal_Mid_L 	 11.08 	 3.25 	 105 
	 Frontal 	 Frontal_Inf_Tri_R 	 10.09 	 2.50 	 44 

