iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Frontal 	 Precentral_R 	 23.43 	 2.46 	 164 
	 Occipital 	 Calcarine_R 	 23.42 	 1.96 	 104 
	 Central 	 Rolandic_Oper_R 	 22.41 	 2.26 	 65 
	 Occipital 	 Calcarine_L 	 19.96 	 1.97 	 112 
	 Temporal 	 Heschl_R 	 19.72 	 1.90 	 14 
	 Parietal 	 Paracentral_Lobule_R 	 18.80 	 2.02 	 25 
	 Occipital 	 Lingual_R 	 17.82 	 1.98 	 98 
	 Parietal 	 Parietal_Inf_L 	 17.15 	 1.92 	 101 
	 Occipital 	 Occipital_Sup_L 	 16.23 	 2.25 	 49 
	 Occipital 	 Occipital_Mid_L 	 14.50 	 1.93 	 123 
	 Parietal 	 Parietal_Sup_L 	 14.12 	 2.15 	 61 
	 Temporal 	 Temporal_Pole_Mid_R 	 12.55 	 1.87 	 29 
	 Parietal 	 SupraMarginal_R 	 12.11 	 2.12 	 58 
	 Temporal 	 Temporal_Mid_L 	 11.82 	 2.04 	 144 
	 Frontal 	 Precentral_L 	 11.70 	 2.05 	 80 
	 Limbic 	 Cingulum_Mid_R 	 10.99 	 1.96 	 61 
	 Parietal 	 SupraMarginal_L 	 10.93 	 1.89 	 33 
	 Subcortical 	 Pallidum_R 	 10.53 	 1.62 	 2 
	 Occipital 	 Lingual_L 	 10.43 	 2.08 	 58 

4	 Limbic 	 Hippocampus_L 	 87.50 	 2.52 	 161 
	 Limbic 	 Hippocampus_R 	 67.02 	 2.45 	 128 
	 Limbic 	 Amygdala_L 	 64.71 	 2.11 	 33 
	 Subcortical 	 Thalamus_L 	 63.91 	 2.20 	 85 
	 Limbic 	 Amygdala_R 	 62.96 	 2.31 	 34 
	 Subcortical 	 Putamen_R 	 60.89 	 2.12 	 137 
	 Occipital 	 Fusiform_L 	 54.27 	 2.29 	 337 
	 Subcortical 	 Thalamus_R 	 50.93 	 2.18 	 82 
	 Limbic 	 ParaHippocampal_R 	 50.74 	 2.22 	 138 
	 Subcortical 	 Pallidum_R 	 47.37 	 2.08 	 9 
	 Occipital 	 Fusiform_R 	 46.90 	 2.12 	 325 
	 Limbic 	 ParaHippocampal_L 	 46.84 	 2.23 	 111 
	 Temporal 	 Temporal_Pole_Mid_L 	 42.37 	 2.16 	 75 
	 Occipital 	 Lingual_L 	 39.93 	 2.24 	 222 
	 Temporal 	 Temporal_Inf_R 	 39.10 	 2.14 	 373 
	 Limbic 	 Insula_R 	 38.16 	 2.09 	 158 
	 Temporal 	 Temporal_Inf_L 	 35.83 	 2.13 	 282 
	 Temporal 	 Temporal_Pole_Sup_L 	 27.71 	 2.09 	 64 
	 Subcortical 	 Putamen_L 	 27.23 	 1.88 	 52 
	 Limbic 	 Insula_L 	 26.11 	 2.24 	 124 
	 Limbic 	 Cingulum_Mid_R 	 25.77 	 2.04 	 143 
	 Temporal 	 Heschl_L 	 25.00 	 1.86 	 18 
	 Temporal 	 Temporal_Pole_Mid_R 	 23.81 	 1.90 	 55 
	 Frontal 	 Olfactory_R 	 23.21 	 2.13 	 13 
	 Occipital 	 Occipital_Inf_L 	 23.01 	 2.09 	 55 
	 Parietal 	 Paracentral_Lobule_R 	 22.56 	 2.02 	 30 
	 Frontal 	 Frontal_Sup_Orb_R 	 21.89 	 1.89 	 51 
	 Central 	 Rolandic_Oper_L 	 20.54 	 1.98 	 46 
	 Occipital 	 Lingual_R 	 19.45 	 1.91 	 107 
	 Limbic 	 Cingulum_Mid_L 	 18.58 	 2.05 	 97 
	 Subcortical 	 Caudate_R 	 17.14 	 1.82 	 30 
	 Frontal 	 Frontal_Inf_Orb_L 	 13.99 	 1.97 	 61 
	 Limbic 	 Cingulum_Ant_R 	 13.49 	 1.94 	 51 
	 Temporal 	 Temporal_Pole_Sup_R 	 13.36 	 1.90 	 33 
	 Frontal 	 Rectus_R 	 12.04 	 1.88 	 23 
	 Limbic 	 Cingulum_Ant_L 	 11.89 	 2.09 	 46 
	 Frontal 	 Frontal_Mid_Orb_R 	 11.16 	 1.84 	 28 
	 Frontal 	 Supp_Motor_Area_L 	 10.94 	 1.93 	 51 
	 Temporal 	 Temporal_Sup_L 	 10.93 	 2.06 	 67 
	 Frontal 	 Frontal_Sup_Orb_L 	 10.88 	 1.93 	 26 
	 Frontal 	 Frontal_Mid_Orb_L 	 10.61 	 1.88 	 21 
	 Parietal 	 Paracentral_Lobule_L 	 10.48 	 2.11 	 26 
	 Frontal 	 Frontal_Inf_Tri_R 	 10.32 	 1.77 	 45 
	 Frontal 	 Olfactory_L 	 10.29 	 2.07 	 7 

5	 Limbic 	 Cingulum_Ant_L 	 15.25 	 1.95 	 59 
