iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Parietal 	 Postcentral_L 	 21.41 	 1.98 	 170 
	 Parietal 	 Parietal_Inf_L 	 21.05 	 1.97 	 124 
	 Parietal 	 SupraMarginal_R 	 19.21 	 1.90 	 92 
	 Limbic 	 Cingulum_Mid_L 	 18.58 	 1.97 	 97 
	 Parietal 	 Precuneus_R 	 18.36 	 1.94 	 130 
	 Occipital 	 Occipital_Mid_R 	 18.01 	 1.98 	 94 
	 Temporal 	 Temporal_Mid_L 	 17.98 	 1.89 	 219 
	 Limbic 	 Insula_L 	 17.68 	 1.86 	 84 
	 Frontal 	 Frontal_Inf_Tri_R 	 17.43 	 1.94 	 76 
	 Occipital 	 Occipital_Sup_L 	 17.22 	 2.04 	 52 
	 Limbic 	 Cingulum_Mid_R 	 16.76 	 1.96 	 93 
	 Central 	 Rolandic_Oper_L 	 16.52 	 1.82 	 37 
	 Occipital 	 Occipital_Sup_R 	 16.47 	 1.97 	 56 
	 Parietal 	 Precuneus_L 	 16.00 	 1.86 	 132 
	 Occipital 	 Cuneus_L 	 15.58 	 1.90 	 60 
	 Temporal 	 Heschl_L 	 15.28 	 1.84 	 11 
	 Parietal 	 Angular_L 	 14.24 	 1.78 	 43 
	 Frontal 	 Precentral_R 	 14.00 	 1.91 	 98 
	 Occipital 	 Calcarine_R 	 13.51 	 1.87 	 60 
	 Subcortical 	 Putamen_L 	 13.09 	 1.95 	 25 
	 Frontal 	 Supp_Motor_Area_R 	 11.34 	 1.82 	 54 
	 Frontal 	 Frontal_Sup_R 	 11.00 	 1.77 	 80 
	 Occipital 	 Cuneus_R 	 10.94 	 1.79 	 43 
	 Occipital 	 Calcarine_L 	 10.87 	 1.85 	 61 
	 Limbic 	 Insula_R 	 10.87 	 1.76 	 45 
	 Parietel 	 Parietal_Sup_R 	 10.78 	 1.93 	 44 

4	 Occipital 	 Calcarine_R 	 60.59 	 2.62 	 269 
	 Occipital 	 Lingual_R 	 60.00 	 2.48 	 330 
	 Occipital 	 Cuneus_L 	 57.66 	 2.41 	 222 
	 Occipital 	 Cuneus_R 	 55.22 	 2.46 	 217 
	 Occipital 	 Calcarine_L 	 54.72 	 2.51 	 307 
	 Occipital 	 Occipital_Inf_R 	 47.18 	 2.13 	 134 
	 Occipital 	 Occipital_Mid_R 	 41.57 	 2.34 	 217 
	 Occipital 	 Lingual_L 	 40.83 	 2.26 	 227 
	 Occipital 	 Occipital_Sup_R 	 39.41 	 2.33 	 134 
	 Occipital 	 Occipital_Sup_L 	 38.41 	 2.41 	 116 
	 Occipital 	 Occipital_Inf_L 	 28.03 	 1.89 	 67 
	 Occipital 	 Occipital_Mid_L 	 27.95 	 2.30 	 237 
	 Occipital 	 Fusiform_R 	 26.26 	 2.22 	 182 
	 Parietal 	 Precuneus_R 	 24.44 	 2.00 	 173 
	 Parietel 	 Parietal_Sup_R 	 18.87 	 1.92 	 77 
	 Occipital 	 Fusiform_L 	 17.71 	 1.88 	 110 
	 Temporal 	 Temporal_Mid_L 	 16.17 	 1.80 	 197 
	 Frontal 	 Precentral_R 	 16.00 	 1.94 	 112 
	 Temporal 	 Temporal_Sup_L 	 15.82 	 1.83 	 97 
	 Parietal 	 Precuneus_L 	 14.55 	 2.02 	 120 
	 Parietal 	 Postcentral_R 	 14.23 	 1.97 	 118 
	 Limbic 	 Cingulum_Post_R 	 12.50 	 2.16 	 5 
	 Parietal 	 Paracentral_Lobule_R 	 12.03 	 1.86 	 16 
	 Parietal 	 Postcentral_L 	 11.59 	 1.80 	 92 
	 Parietal 	 Parietal_Sup_L 	 11.57 	 2.17 	 50 

5	 Limbic 	 Hippocampus_L 	 73.91 	 2.24 	 136 
	 Limbic 	 Amygdala_L 	 72.55 	 2.14 	 37 
	 Subcortical 	 Thalamus_L 	 70.68 	 2.15 	 94 
	 Subcortical 	 Putamen_R 	 64.89 	 2.15 	 146 
	 Limbic 	 Hippocampus_R 	 60.21 	 2.14 	 115 
	 Subcortical 	 Thalamus_R 	 59.63 	 2.23 	 96 
	 Limbic 	 Insula_R 	 56.04 	 2.34 	 232 
	 Temporal 	 Heschl_L 	 47.22 	 2.04 	 34 
	 Limbic 	 ParaHippocampal_R 	 43.75 	 2.05 	 119 
	 Limbic 	 Amygdala_R 	 42.59 	 2.06 	 23 
	 Limbic 	 ParaHippocampal_L 	 40.93 	 2.21 	 97 
	 Occipital 	 Fusiform_L 	 37.68 	 2.04 	 234 
	 Limbic 	 Cingulum_Mid_R 	 37.30 	 2.16 	 207 
	 Subcortical 	 Pallidum_R 	 36.84 	 2.06 	 7 
	 Central 	 Rolandic_Oper_L 	 35.27 	 2.12 	 79 
	 Limbic 	 Cingulum_Mid_L 	 34.67 	 2.19 	 181 
	 Occipital 	 Fusiform_R 	 34.05 	 2.03 	 236 
	 Central 	 Rolandic_Oper_R 	 33.10 	 1.99 	 96 
	 Parietal 	 Paracentral_Lobule_R 	 33.08 	 2.06 	 44 
	 Temporal 	 Temporal_Inf_L 	 31.77 	 2.01 	 250 
	 Subcortical 	 Putamen_L 	 30.37 	 1.95 	 58 
	 Limbic 	 Insula_L 	 29.47 	 2.42 	 140 
	 Occipital 	 Lingual_L 	 28.96 	 2.13 	 161 
	 Subcortical 	 Caudate_R 	 26.29 	 2.03 	 46 
	 Frontal 	 Olfactory_R 	 25.00 	 2.13 	 14 
	 Temporal 	 Temporal_Inf_R 	 24.74 	 1.84 	 236 
	 Temporal 	 Temporal_Pole_Sup_L 	 22.94 	 2.05 	 53 
	 Limbic 	 Cingulum_Ant_R 	 22.75 	 2.26 	 86 
	 Parietal 	 Paracentral_Lobule_L 	 20.97 	 2.18 	 52 
	 Frontal 	 Frontal_Inf_Oper_R 	 20.06 	 1.98 	 65 
	 Frontal 	 Supp_Motor_Area_L 	 19.96 	 2.09 	 93 
	 Occipital 	 Occipital_Inf_L 	 17.57 	 1.98 	 42 
	 Frontal 	 Frontal_Inf_Tri_R 	 17.43 	 1.78 	 76 
	 Frontal 	 Supp_Motor_Area_R 	 17.23 	 1.91 	 82 
	 Temporal 	 Heschl_R 	 16.90 	 2.03 	 12 
	 Limbic 	 Cingulum_Ant_L 	 16.54 	 2.27 	 64 
	 Temporal 	 Temporal_Pole_Mid_L 	 16.38 	 1.71 	 29 
	 Subcortical 	 Caudate_L 	 13.90 	 1.90 	 26 
	 Temporal 	 Temporal_Sup_L 	 13.05 	 2.03 	 80 
	 Parietal 	 SupraMarginal_L 	 12.58 	 1.93 	 38 
	 Frontal 	 Frontal_Sup_Orb_R 	 12.45 	 1.70 	 29 
	 Frontal 	 Olfactory_L 	 11.76 	 2.27 	 8 
	 Frontal 	 Frontal_Mid_R 	 11.28 	 1.88 	 126 
	 Limbic 	 Cingulum_Post_L 	 10.87 	 1.80 	 10 
	 Temporal 	 Temporal_Pole_Sup_R 	 10.53 	 1.81 	 26 

6	 Central 	 Rolandic_Oper_L 	 56.70 	 2.46 	 127 
	 Frontal 	 Frontal_Inf_Oper_L 	 56.33 	 2.38 	 129 
	 Limbic 	 Insula_R 	 46.62 	 2.24 	 193 
	 Frontal 	 Frontal_Inf_Oper_R 	 45.06 	 2.69 	 146 
	 Temporal 	 Heschl_L 	 44.44 	 2.16 	 32 
	 Frontal 	 Frontal_Inf_Tri_L 	 42.97 	 2.53 	 217 
	 Limbic 	 Insula_L 	 42.53 	 2.29 	 202 
	 Central 	 Rolandic_Oper_R 	 39.66 	 2.33 	 115 
	 Parietal 	 Paracentral_Lobule_L 	 33.47 	 2.19 	 83 
	 Frontal 	 Frontal_Mid_L 	 32.81 	 2.39 	 311 
	 Temporal 	 Temporal_Sup_L 	 30.34 	 2.04 	 186 
	 Limbic 	 Amygdala_R 	 29.63 	 2.07 	 16 
	 Parietal 	 SupraMarginal_L 	 28.81 	 1.94 	 87 
	 Frontal 	 Precentral_L 	 28.65 	 2.42 	 196 
	 Parietal 	 Paracentral_Lobule_R 	 28.57 	 2.01 	 38 
	 Frontal 	 Supp_Motor_Area_L 	 27.47 	 2.27 	 128 
	 Subcortical 	 Pallidum_R 	 26.32 	 2.27 	 5 
	 Limbic 	 Amygdala_L 	 25.49 	 1.75 	 13 
	 Parietal 	 Postcentral_R 	 22.80 	 2.19 	 189 
	 Temporal 	 Heschl_R 	 22.54 	 2.53 	 16 
	 Limbic 	 Hippocampus_R 	 22.51 	 1.99 	 43 
	 Limbic 	 Cingulum_Mid_L 	 21.65 	 2.06 	 113 
	 Subcortical 	 Putamen_R 	 20.00 	 1.89 	 45 
	 Frontal 	 Frontal_Inf_Tri_R 	 19.95 	 2.11 	 87 
	 Subcortical 	 Putamen_L 	 19.90 	 1.97 	 38 
	 Frontal 	 Precentral_R 	 19.14 	 2.19 	 134 
	 Frontal 	 Olfactory_L 	 19.12 	 2.38 	 13 
	 Frontal 	 Supp_Motor_Area_R 	 18.49 	 2.04 	 88 
	 Parietal 	 SupraMarginal_R 	 17.12 	 1.76 	 82 
	 Parietal 	 Postcentral_L 	 16.37 	 2.07 	 130 
	 Occipital 	 Occipital_Inf_L 	 15.90 	 2.12 	 38 
	 Limbic 	 Cingulum_Mid_R 	 14.77 	 1.96 	 82 
	 Subcortical 	 Pallidum_L 	 14.71 	 1.90 	 5 
	 Temporal 	 Temporal_Pole_Sup_R 	 14.17 	 2.02 	 35 
	 Limbic 	 ParaHippocampal_L 	 13.92 	 2.01 	 33 
	 Limbic 	 Cingulum_Ant_R 	 13.49 	 1.70 	 51 
	 Limbic 	 Hippocampus_L 	 12.50 	 1.93 	 23 
	 Temporal 	 Temporal_Sup_R 	 11.82 	 1.95 	 95 
	 Frontal 	 Frontal_Sup_Medial_R 	 10.98 	 1.83 	 45 
	 Temporal 	 Temporal_Inf_L 	 10.55 	 2.00 	 83 
	 Frontal 	 Frontal_Sup_L 	 10.02 	 2.23 	 61 

7	 Parietal 	 Parietal_Inf_R 	 52.62 	 2.84 	 181 
	 Parietal 	 Angular_R 	 45.22 	 2.54 	 189 
	 Occipital 	 Occipital_Inf_R 	 45.07 	 2.25 	 128 
	 Occipital 	 Occipital_Mid_R 	 35.82 	 2.22 	 187 
	 Parietal 	 SupraMarginal_R 	 32.15 	 2.19 	 154 
	 Occipital 	 Occipital_Mid_L 	 28.18 	 2.10 	 239 
	 Occipital 	 Occipital_Sup_R 	 27.65 	 2.33 	 94 
	 Temporal 	 Temporal_Pole_Mid_L 	 26.55 	 2.22 	 47 
	 Occipital 	 Occipital_Inf_L 	 26.36 	 2.05 	 63 
	 Parietel 	 Parietal_Sup_R 	 26.23 	 2.14 	 107 
	 Occipital 	 Fusiform_L 	 25.60 	 2.31 	 159 
	 Parietal 	 Parietal_Inf_L 	 25.13 	 2.01 	 148 
	 Occipital 	 Cuneus_R 	 24.68 	 2.30 	 97 
	 Occipital 	 Fusiform_R 	 24.24 	 2.21 	 168 
	 Parietal 	 Postcentral_L 	 22.42 	 1.92 	 178 
	 Occipital 	 Lingual_R 	 22.00 	 2.06 	 121 
	 Occipital 	 Calcarine_R 	 21.62 	 1.98 	 96 
	 Temporal 	 Temporal_Inf_L 	 21.47 	 2.18 	 169 
	 Limbic 	 ParaHippocampal_R 	 19.49 	 2.18 	 53 
	 Temporal 	 Temporal_Mid_R 	 18.88 	 2.22 	 223 
	 Temporal 	 Temporal_Mid_L 	 18.64 	 2.05 	 227 
	 Occipital 	 Occipital_Sup_L 	 18.21 	 2.11 	 55 
	 Frontal 	 Precentral_R 	 18.00 	 2.56 	 126 
	 Occipital 	 Cuneus_L 	 17.40 	 2.08 	 67 
	 Occipital 	 Lingual_L 	 16.55 	 2.15 	 92 
	 Occipital 	 Calcarine_L 	 15.69 	 2.04 	 88 
	 Temporal 	 Temporal_Inf_R 	 15.51 	 2.06 	 148 
	 Subcortical 	 Thalamus_R 	 13.66 	 2.02 	 22 
	 Frontal 	 Frontal_Mid_R 	 13.43 	 2.00 	 150 
	 Frontal 	 Frontal_Sup_Orb_R 	 13.30 	 2.11 	 31 
	 Frontal 	 Frontal_Mid_Orb_R 	 13.15 	 2.00 	 33 
	 Limbic 	 Cingulum_Mid_L 	 11.69 	 2.12 	 61 
	 Temporal 	 Temporal_Sup_R 	 11.57 	 2.02 	 93 
	 Limbic 	 Hippocampus_L 	 11.41 	 2.29 	 21 
	 Parietal 	 SupraMarginal_L 	 11.26 	 1.79 	 34 
	 Subcortical 	 Caudate_L 	 11.23 	 2.13 	 21 
	 Frontal 	 Frontal_Inf_Oper_R 	 11.11 	 1.88 	 36 
	 Parietal 	 Postcentral_R 	 11.10 	 2.13 	 92 
	 Limbic 	 ParaHippocampal_L 	 10.97 	 2.05 	 26 

8	 Temporal 	 Temporal_Pole_Mid_R 	 73.16 	 3.05 	 169 
	 Limbic 	 Hippocampus_L 	 71.20 	 2.28 	 131 
	 Temporal 	 Temporal_Pole_Mid_L 	 59.32 	 2.49 	 105 
	 Limbic 	 Amygdala_R 	 55.56 	 2.71 	 30 
	 Limbic 	 Hippocampus_R 	 55.50 	 2.54 	 106 
	 Temporal 	 Temporal_Inf_R 	 51.57 	 2.60 	 492 
	 Occipital 	 Fusiform_L 	 49.44 	 2.21 	 307 
	 Limbic 	 ParaHippocampal_R 	 47.43 	 2.36 	 129 
	 Occipital 	 Fusiform_R 	 46.75 	 2.40 	 324 
	 Subcortical 	 Thalamus_L 	 42.86 	 2.08 	 57 
	 Occipital 	 Lingual_L 	 42.45 	 2.07 	 236 
	 Limbic 	 ParaHippocampal_L 	 39.66 	 2.12 	 94 
	 Frontal 	 Frontal_Sup_Orb_R 	 38.63 	 2.34 	 90 
	 Temporal 	 Temporal_Inf_L 	 38.25 	 2.18 	 301 
	 Subcortical 	 Thalamus_R 	 36.02 	 2.23 	 58 
	 Temporal 	 Temporal_Pole_Sup_R 	 35.22 	 2.10 	 87 
	 Frontal 	 Frontal_Inf_Orb_L 	 28.67 	 2.23 	 125 
	 Frontal 	 Rectus_R 	 27.75 	 2.23 	 53 
	 Frontal 	 Frontal_Mid_Orb_L 	 27.27 	 2.21 	 54 
	 Occipital 	 Lingual_R 	 21.27 	 1.78 	 117 
	 Occipital 	 Calcarine_R 	 21.17 	 2.00 	 94 
	 Frontal 	 Frontal_Mid_Orb_R 	 20.72 	 2.08 	 52 
	 Temporal 	 Temporal_Pole_Sup_L 	 20.35 	 2.00 	 47 
	 Frontal 	 Frontal_Sup_Orb_L 	 19.67 	 2.17 	 47 
	 Occipital 	 Cuneus_L 	 18.44 	 1.76 	 71 
	 Occipital 	 Occipital_Inf_R 	 18.31 	 1.91 	 52 
	 Temporal 	 Temporal_Mid_L 	 16.75 	 2.03 	 204 
	 Temporal 	 Temporal_Mid_R 	 16.51 	 2.36 	 195 
	 Limbic 	 Amygdala_L 	 15.69 	 1.86 	 8 
	 Frontal 	 Frontal_Inf_Orb_R 	 14.49 	 1.83 	 61 
	 Occipital 	 Calcarine_L 	 10.70 	 1.76 	 60 
	 Occipital 	 Occipital_Inf_L 	 10.04 	 1.75 	 24 

9	 Parietal 	 Parietal_Inf_L 	 69.61 	 2.94 	 410 
	 Temporal 	 Heschl_L 	 68.06 	 2.65 	 49 
	 Parietal 	 Angular_L 	 65.89 	 2.79 	 199 
	 Temporal 	 Heschl_R 	 59.15 	 2.92 	 42 
	 Central 	 Rolandic_Oper_R 	 45.52 	 2.62 	 132 
	 Central 	 Rolandic_Oper_L 	 43.75 	 2.95 	 98 
	 Parietal 	 SupraMarginal_L 	 39.07 	 2.41 	 118 
	 Temporal 	 Temporal_Sup_R 	 38.31 	 2.69 	 308 
	 Parietal 	 SupraMarginal_R 	 37.58 	 2.48 	 180 
	 Frontal 	 Frontal_Inf_Oper_L 	 37.55 	 2.16 	 86 
	 Temporal 	 Temporal_Mid_R 	 34.21 	 2.47 	 404 
	 Temporal 	 Temporal_Sup_L 	 33.61 	 2.53 	 206 
	 Parietal 	 Parietal_Sup_L 	 32.41 	 2.39 	 140 
	 Parietal 	 Postcentral_L 	 29.09 	 2.31 	 231 
	 Parietal 	 Angular_R 	 27.03 	 1.85 	 113 
	 Occipital 	 Occipital_Mid_L 	 26.89 	 2.49 	 228 
	 Limbic 	 Cingulum_Post_L 	 23.91 	 2.00 	 22 
	 Parietal 	 Postcentral_R 	 22.32 	 2.15 	 185 
	 Parietal 	 Parietal_Inf_R 	 21.22 	 1.98 	 73 
	 Limbic 	 Insula_R 	 20.53 	 2.58 	 85 
	 Limbic 	 Cingulum_Mid_L 	 18.97 	 2.06 	 99 
	 Occipital 	 Occipital_Mid_R 	 17.24 	 2.02 	 90 
	 Frontal 	 Precentral_L 	 15.94 	 2.19 	 109 
	 Limbic 	 Cingulum_Post_R 	 15.00 	 1.89 	 6 
	 Limbic 	 Insula_L 	 14.53 	 2.54 	 69 
	 Occipital 	 Cuneus_L 	 14.29 	 2.07 	 55 
	 Frontal 	 Frontal_Inf_Tri_L 	 14.06 	 2.06 	 71 
	 Occipital 	 Occipital_Sup_L 	 13.91 	 2.39 	 42 
	 Limbic 	 Cingulum_Mid_R 	 13.15 	 1.99 	 73 
	 Parietal 	 Precuneus_L 	 10.91 	 1.91 	 90 
	 Temporal 	 Temporal_Mid_L 	 10.43 	 2.27 	 127 

10	 Parietal 	 Parietal_Inf_L 	 61.97 	 2.55 	 365 
	 Parietal 	 Parietal_Inf_R 	 52.91 	 2.58 	 182 
	 Parietal 	 Parietal_Sup_L 	 45.37 	 2.53 	 196 
	 Parietal 	 Angular_L 	 38.08 	 2.45 	 115 
	 Subcortical 	 Caudate_L 	 36.90 	 2.11 	 69 
	 Subcortical 	 Caudate_R 	 35.43 	 2.03 	 62 
	 Frontal 	 Olfactory_L 	 35.29 	 2.19 	 24 
	 Frontal 	 Precentral_L 	 32.75 	 2.41 	 224 
	 Parietal 	 Angular_R 	 31.10 	 2.18 	 130 
	 Parietal 	 Postcentral_L 	 27.71 	 2.44 	 220 
	 Parietal 	 Postcentral_R 	 26.30 	 2.25 	 218 
	 Occipital 	 Occipital_Mid_L 	 25.94 	 2.67 	 220 
	 Frontal 	 Frontal_Mid_L 	 25.53 	 2.29 	 242 
	 Frontal 	 Supp_Motor_Area_L 	 23.82 	 2.05 	 111 
	 Frontal 	 Frontal_Inf_Oper_L 	 23.14 	 2.07 	 53 
	 Frontal 	 Frontal_Sup_L 	 22.99 	 2.33 	 140 
	 Frontal 	 Supp_Motor_Area_R 	 22.69 	 2.05 	 108 
	 Parietal 	 SupraMarginal_R 	 21.71 	 2.11 	 104 
	 Occipital 	 Occipital_Sup_L 	 21.52 	 2.44 	 65 
	 Parietal 	 Precuneus_L 	 21.45 	 2.24 	 177 
	 Subcortical 	 Putamen_L 	 20.94 	 1.99 	 40 
	 Frontal 	 Frontal_Inf_Tri_L 	 20.79 	 2.03 	 105 
	 Parietal 	 Precuneus_R 	 20.76 	 2.20 	 147 
	 Limbic 	 Cingulum_Post_R 	 20.00 	 2.09 	 8 
	 Limbic 	 Cingulum_Mid_R 	 18.20 	 2.17 	 101 
	 Limbic 	 Cingulum_Mid_L 	 17.24 	 2.05 	 90 
	 Frontal 	 Frontal_Sup_R 	 16.64 	 1.93 	 121 
	 Parietal 	 Paracentral_Lobule_L 	 15.32 	 2.07 	 38 
	 Frontal 	 Precentral_R 	 15.29 	 2.22 	 107 
	 Subcortical 	 Pallidum_L 	 14.71 	 2.45 	 5 
	 Frontal 	 Frontal_Inf_Oper_R 	 13.27 	 1.91 	 43 
	 Central 	 Rolandic_Oper_R 	 13.10 	 1.85 	 38 
	 Temporal 	 Temporal_Sup_R 	 12.19 	 1.99 	 98 
	 Frontal 	 Frontal_Sup_Orb_L 	 12.13 	 2.05 	 29 
	 Parietel 	 Parietal_Sup_R 	 11.52 	 1.97 	 47 
	 Frontal 	 Frontal_Sup_Medial_R 	 11.46 	 2.00 	 47 
	 Frontal 	 Rectus_L 	 11.11 	 2.15 	 23 
	 Frontal 	 Frontal_Sup_Medial_L 	 10.82 	 1.88 	 54 
	 Frontal 	 Frontal_Mid_Orb_R 	 10.76 	 1.91 	 27 
	 Occipital 	 Occipital_Sup_R 	 10.29 	 2.27 	 35 

11	 Subcortical 	 Caudate_L 	 83.96 	 3.50 	 157 
	 Subcortical 	 Caudate_R 	 76.57 	 3.49 	 134 
	 Limbic 	 Cingulum_Ant_R 	 62.43 	 3.48 	 236 
	 Limbic 	 Cingulum_Ant_L 	 56.59 	 3.29 	 219 
	 Frontal 	 Frontal_Sup_Medial_L 	 49.50 	 3.38 	 247 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 45.00 	 2.24 	 99 
	 Subcortical 	 Putamen_L 	 43.98 	 2.52 	 84 
	 Frontal 	 Frontal_Sup_Medial_R 	 41.71 	 2.84 	 171 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 37.29 	 2.62 	 66 
	 Frontal 	 Olfactory_L 	 35.29 	 2.41 	 24 
	 Subcortical 	 Pallidum_R 	 31.58 	 2.04 	 6 
	 Frontal 	 Frontal_Mid_L 	 31.12 	 2.81 	 295 
	 Subcortical 	 Putamen_R 	 31.11 	 2.27 	 70 
	 Frontal 	 Rectus_L 	 28.99 	 2.31 	 60 
	 Frontal 	 Olfactory_R 	 28.57 	 2.31 	 16 
	 Frontal 	 Frontal_Mid_Orb_R 	 27.09 	 2.52 	 68 
	 Frontal 	 Frontal_Sup_Orb_R 	 25.75 	 2.45 	 60 
	 Frontal 	 Frontal_Sup_Orb_L 	 24.27 	 2.27 	 58 
	 Frontal 	 Frontal_Sup_L 	 23.32 	 2.78 	 142 
	 Frontal 	 Frontal_Mid_R 	 23.10 	 2.95 	 258 
	 Frontal 	 Frontal_Mid_Orb_L 	 22.73 	 2.21 	 45 
	 Frontal 	 Rectus_R 	 22.51 	 1.99 	 43 
	 Frontal 	 Frontal_Sup_R 	 16.92 	 2.52 	 123 
	 Subcortical 	 Pallidum_L 	 14.71 	 2.41 	 5 
	 Temporal 	 Temporal_Inf_R 	 14.05 	 2.19 	 134 
	 Frontal 	 Frontal_Inf_Orb_R 	 13.54 	 2.14 	 57 
	 Limbic 	 Hippocampus_L 	 13.04 	 1.96 	 24 
	 Limbic 	 Insula_R 	 11.59 	 1.84 	 48 
