iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
1	 Limbic 	 Amygdala_R 	 40.74 	 2.31 	 22 
	 Limbic 	 Amygdala_L 	 39.22 	 2.17 	 20 
	 Limbic 	 Cingulum_Ant_R 	 37.57 	 2.27 	 142 
	 Limbic 	 Hippocampus_L 	 35.87 	 2.11 	 66 
	 Subcortical 	 Caudate_R 	 35.43 	 2.09 	 62 
	 Limbic 	 Cingulum_Ant_L 	 28.94 	 2.16 	 112 
	 Central 	 Rolandic_Oper_L 	 28.12 	 2.10 	 63 
	 Frontal 	 Rectus_L 	 23.19 	 2.02 	 48 
	 Temporal 	 Temporal_Mid_R 	 21.17 	 2.11 	 250 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 20.91 	 2.02 	 46 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 20.90 	 1.91 	 37 
	 Limbic 	 Insula_L 	 20.84 	 2.13 	 99 
	 Frontal 	 Olfactory_L 	 20.59 	 2.30 	 14 
	 Limbic 	 Hippocampus_R 	 19.37 	 2.11 	 37 
	 Temporal 	 Temporal_Pole_Sup_R 	 18.62 	 2.00 	 46 
	 Temporal 	 Temporal_Sup_L 	 18.27 	 2.05 	 112 
	 Occipital 	 Lingual_L 	 16.91 	 1.97 	 94 
	 Limbic 	 ParaHippocampal_L 	 16.88 	 2.10 	 40 
	 Temporal 	 Temporal_Pole_Sup_L 	 16.45 	 2.08 	 38 
	 Occipital 	 Fusiform_L 	 15.78 	 1.96 	 98 
	 Temporal 	 Temporal_Mid_L 	 15.76 	 1.96 	 192 
	 Subcortical 	 Caudate_L 	 15.51 	 2.18 	 29 
	 Temporal 	 Temporal_Pole_Mid_R 	 14.72 	 1.93 	 34 
	 Frontal 	 Frontal_Inf_Orb_L 	 14.45 	 2.17 	 63 
	 Frontal 	 Frontal_Sup_Medial_R 	 13.90 	 2.03 	 57 
	 Occipital 	 Lingual_R 	 13.27 	 2.01 	 73 
	 Frontal 	 Frontal_Sup_Medial_L 	 13.23 	 2.00 	 66 
	 Frontal 	 Frontal_Inf_Tri_L 	 12.48 	 2.01 	 63 

2	 Limbic 	 Cingulum_Post_L 	 60.87 	 2.49 	 56 
	 Parietal 	 Angular_L 	 56.95 	 2.61 	 172 
	 Limbic 	 Cingulum_Post_R 	 52.50 	 2.46 	 21 
	 Parietal 	 Parietal_Inf_L 	 47.37 	 2.57 	 279 
	 Parietal 	 Parietal_Inf_R 	 46.80 	 2.54 	 161 
	 Parietal 	 Precuneus_R 	 41.95 	 2.33 	 297 
	 Parietal 	 Precuneus_L 	 34.42 	 2.40 	 284 
	 Occipital 	 Cuneus_R 	 33.84 	 2.07 	 133 
	 Occipital 	 Occipital_Mid_L 	 32.78 	 2.34 	 278 
	 Occipital 	 Calcarine_R 	 30.63 	 1.97 	 136 
	 Parietal 	 Angular_R 	 30.14 	 2.17 	 126 
	 Occipital 	 Calcarine_L 	 30.12 	 2.06 	 169 
	 Occipital 	 Cuneus_L 	 27.53 	 2.12 	 106 
	 Limbic 	 Cingulum_Mid_L 	 24.71 	 2.23 	 129 
	 Occipital 	 Occipital_Sup_L 	 24.17 	 2.37 	 73 
	 Parietal 	 Parietal_Sup_L 	 22.45 	 2.38 	 97 
	 Limbic 	 Cingulum_Mid_R 	 21.44 	 2.42 	 119 
	 Frontal 	 Frontal_Mid_L 	 20.36 	 2.41 	 193 
	 Parietal 	 Postcentral_L 	 17.25 	 1.95 	 137 
	 Parietal 	 Paracentral_Lobule_R 	 16.54 	 2.19 	 22 
	 Parietal 	 Postcentral_R 	 15.92 	 2.00 	 132 
	 Frontal 	 Precentral_L 	 15.06 	 2.06 	 103 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 14.69 	 1.93 	 26 
	 Occipital 	 Occipital_Mid_R 	 13.03 	 2.10 	 68 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 12.27 	 1.85 	 27 
	 Temporal 	 Temporal_Mid_L 	 12.15 	 2.02 	 148 
	 Frontal 	 Frontal_Sup_R 	 11.28 	 2.01 	 82 
	 Frontal 	 Olfactory_R 	 10.71 	 2.94 	 6 
	 Occipital 	 Occipital_Sup_R 	 10.59 	 1.94 	 36 
	 Parietal 	 SupraMarginal_R 	 10.02 	 2.09 	 48 

3	 Temporal 	 Temporal_Sup_R 	 40.30 	 2.34 	 324 
	 Central 	 Rolandic_Oper_R 	 36.21 	 1.93 	 105 
	 Frontal 	 Frontal_Inf_Oper_L 	 35.81 	 2.20 	 82 
	 Temporal 	 Heschl_R 	 33.80 	 1.96 	 24 
	 Parietal 	 Angular_R 	 33.73 	 2.05 	 141 
	 Temporal 	 Temporal_Mid_R 	 32.60 	 2.21 	 385 
	 Parietal 	 Parietal_Sup_L 	 31.25 	 2.09 	 135 
	 Temporal 	 Temporal_Sup_L 	 29.85 	 1.96 	 183 
	 Frontal 	 Frontal_Inf_Oper_R 	 29.63 	 1.97 	 96 
	 Occipital 	 Occipital_Mid_L 	 27.83 	 2.06 	 236 
	 Limbic 	 Cingulum_Post_R 	 25.00 	 1.90 	 10 
	 Frontal 	 Precentral_L 	 23.39 	 2.09 	 160 
	 Frontal 	 Frontal_Inf_Tri_L 	 23.37 	 1.97 	 118 
	 Parietal 	 Postcentral_R 	 22.92 	 2.01 	 190 
	 Limbic 	 Cingulum_Post_L 	 22.83 	 1.85 	 21 
	 Parietal 	 Parietal_Inf_R 	 22.67 	 1.88 	 78 
