iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Occipital 	 Cuneus_L 	 34.03 	 2.28 	 131 
	 Occipital 	 Occipital_Sup_R 	 33.24 	 2.34 	 113 
	 Parietal 	 Postcentral_R 	 31.24 	 2.18 	 259 
	 Central 	 Rolandic_Oper_L 	 29.91 	 2.02 	 67 
	 Occipital 	 Calcarine_L 	 28.52 	 2.24 	 160 
	 Occipital 	 Lingual_L 	 28.06 	 2.11 	 156 
	 Occipital 	 Lingual_R 	 27.64 	 2.03 	 152 
	 Temporal 	 Temporal_Sup_L 	 27.08 	 2.21 	 166 
	 Parietal 	 SupraMarginal_R 	 26.51 	 2.03 	 127 
	 Occipital 	 Occipital_Mid_R 	 25.67 	 2.23 	 134 
	 Occipital 	 Occipital_Inf_R 	 23.59 	 2.08 	 67 
	 Occipital 	 Occipital_Inf_L 	 23.01 	 2.05 	 55 
	 Limbic 	 Cingulum_Mid_R 	 22.52 	 2.03 	 125 
	 Occipital 	 Occipital_Mid_L 	 21.93 	 2.10 	 186 
	 Parietal 	 Parietal_Inf_L 	 21.05 	 1.91 	 124 
	 Subcortical 	 Pallidum_R 	 21.05 	 2.19 	 4 
	 Temporal 	 Temporal_Sup_R 	 21.02 	 2.16 	 169 
	 Limbic 	 Cingulum_Mid_L 	 20.69 	 2.12 	 108 
	 Temporal 	 Heschl_L 	 19.44 	 1.99 	 14 
	 Occipital 	 Occipital_Sup_L 	 18.87 	 2.25 	 57 
	 Frontal 	 Precentral_L 	 17.25 	 1.96 	 118 
	 Temporal 	 Temporal_Mid_R 	 16.60 	 2.31 	 196 
	 Frontal 	 Precentral_R 	 16.29 	 2.02 	 114 
	 Parietal 	 Precuneus_R 	 16.10 	 1.93 	 114 
	 Temporal 	 Temporal_Mid_L 	 15.52 	 2.15 	 189 
	 Parietal 	 Parietal_Inf_R 	 15.41 	 1.88 	 53 
	 Parietal 	 Paracentral_Lobule_R 	 15.04 	 1.92 	 20 
	 Limbic 	 Cingulum_Post_R 	 15.00 	 1.71 	 6 
	 Parietel 	 Parietal_Sup_R 	 14.71 	 1.96 	 60 
	 Occipital 	 Fusiform_R 	 14.00 	 1.81 	 97 
	 Limbic 	 Insula_R 	 13.29 	 2.07 	 55 
	 Frontal 	 Supp_Motor_Area_L 	 12.02 	 2.05 	 56 
	 Frontal 	 Supp_Motor_Area_R 	 10.29 	 1.93 	 49 
	 Subcortical 	 Putamen_R 	 10.22 	 1.79 	 23 
	 Temporal 	 Temporal_Pole_Sup_R 	 10.12 	 1.91 	 25 

4	 Temporal 	 Temporal_Pole_Mid_R 	 57.14 	 2.57 	 132 
	 Limbic 	 Amygdala_R 	 46.30 	 2.62 	 25 
	 Frontal 	 Frontal_Inf_Orb_L 	 31.88 	 2.65 	 139 
	 Limbic 	 Amygdala_L 	 31.37 	 2.09 	 16 
	 Parietal 	 Paracentral_Lobule_L 	 30.65 	 2.10 	 76 
	 Temporal 	 Temporal_Pole_Sup_L 	 30.30 	 2.52 	 70 
	 Parietal 	 Paracentral_Lobule_R 	 27.82 	 2.19 	 37 
	 Temporal 	 Temporal_Pole_Sup_R 	 25.10 	 2.67 	 62 
	 Frontal 	 Rectus_L 	 24.15 	 2.33 	 50 
	 Limbic 	 Hippocampus_R 	 24.08 	 2.11 	 46 
	 Parietal 	 Parietal_Inf_R 	 23.55 	 2.11 	 81 
	 Parietal 	 Angular_R 	 22.25 	 2.24 	 93 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 21.82 	 2.17 	 48 
	 Limbic 	 Hippocampus_L 	 21.74 	 2.34 	 40 
	 Temporal 	 Temporal_Inf_R 	 21.17 	 2.66 	 202 
	 Frontal 	 Frontal_Sup_Orb_L 	 20.92 	 2.03 	 50 
	 Temporal 	 Temporal_Inf_L 	 19.82 	 2.13 	 156 
	 Limbic 	 Cingulum_Ant_R 	 19.58 	 2.59 	 74 
	 Frontal 	 Frontal_Mid_Orb_L 	 19.19 	 1.98 	 38 
	 Frontal 	 Frontal_Inf_Orb_R 	 18.76 	 2.22 	 79 
	 Temporal 	 Temporal_Mid_L 	 18.39 	 2.20 	 224 
	 Temporal 	 Temporal_Mid_R 	 18.12 	 2.26 	 214 
	 Temporal 	 Temporal_Pole_Mid_L 	 17.51 	 1.82 	 31 
	 Frontal 	 Olfactory_L 	 16.18 	 3.06 	 11 
	 Limbic 	 ParaHippocampal_R 	 16.18 	 2.18 	 44 
	 Frontal 	 Frontal_Mid_Orb_R 	 15.94 	 2.03 	 40 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 15.25 	 1.95 	 27 
	 Limbic 	 ParaHippocampal_L 	 15.19 	 2.27 	 36 
	 Frontal 	 Frontal_Inf_Tri_L 	 14.26 	 2.43 	 72 
	 Limbic 	 Cingulum_Ant_L 	 14.21 	 2.11 	 55 
	 Subcortical 	 Caudate_R 	 13.14 	 1.97 	 23 
	 Subcortical 	 Thalamus_R 	 13.04 	 2.26 	 21 
	 Parietal 	 Postcentral_R 	 13.03 	 2.22 	 108 
	 Occipital 	 Fusiform_R 	 11.11 	 2.40 	 77 
	 Limbic 	 Insula_L 	 10.74 	 2.45 	 51 
	 Frontal 	 Frontal_Sup_R 	 10.73 	 2.08 	 78 
	 Frontal 	 Olfactory_R 	 10.71 	 2.65 	 6 

5	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 61.02 	 2.80 	 108 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 53.64 	 2.59 	 118 
	 Frontal 	 Rectus_L 	 48.79 	 2.59 	 101 
	 Limbic 	 Cingulum_Ant_R 	 47.88 	 2.53 	 181 
	 Limbic 	 Cingulum_Ant_L 	 41.34 	 2.39 	 160 
	 Frontal 	 Rectus_R 	 39.27 	 2.61 	 75 
	 Frontal 	 Frontal_Mid_Orb_R 	 39.04 	 2.46 	 98 
	 Frontal 	 Frontal_Sup_Medial_L 	 38.88 	 2.40 	 194 
	 Frontal 	 Frontal_Sup_Medial_R 	 37.07 	 2.53 	 152 
	 Frontal 	 Frontal_Inf_Orb_R 	 33.73 	 2.27 	 142 
	 Subcortical 	 Caudate_R 	 33.71 	 1.96 	 59 
	 Limbic 	 Amygdala_R 	 33.33 	 1.92 	 18 
	 Limbic 	 Hippocampus_L 	 32.07 	 2.18 	 59 
	 Frontal 	 Frontal_Inf_Tri_L 	 31.68 	 2.16 	 160 
	 Frontal 	 Frontal_Inf_Orb_L 	 29.82 	 2.20 	 130 
	 Frontal 	 Olfactory_L 	 25.00 	 2.01 	 17 
	 Limbic 	 Cingulum_Post_L 	 25.00 	 1.92 	 23 
	 Limbic 	 Hippocampus_R 	 24.08 	 2.01 	 46 
	 Occipital 	 Calcarine_R 	 22.30 	 1.88 	 99 
	 Temporal 	 Temporal_Inf_L 	 21.73 	 2.10 	 171 
	 Temporal 	 Temporal_Pole_Mid_R 	 21.65 	 2.06 	 50 
	 Frontal 	 Frontal_Sup_Orb_R 	 21.46 	 2.44 	 50 
	 Temporal 	 Temporal_Mid_L 	 21.10 	 2.09 	 257 
	 Temporal 	 Temporal_Mid_R 	 20.91 	 2.06 	 247 
	 Parietal 	 Angular_R 	 20.33 	 1.91 	 85 
	 Frontal 	 Frontal_Sup_Orb_L 	 19.25 	 2.12 	 46 
	 Limbic 	 ParaHippocampal_L 	 18.57 	 2.05 	 44 
	 Occipital 	 Lingual_R 	 17.64 	 1.90 	 97 
	 Frontal 	 Frontal_Inf_Tri_R 	 17.43 	 2.13 	 76 
	 Frontal 	 Frontal_Inf_Oper_L 	 16.59 	 2.41 	 38 
	 Subcortical 	 Caudate_L 	 16.58 	 1.98 	 31 
	 Parietal 	 Angular_L 	 16.56 	 1.82 	 50 
	 Occipital 	 Lingual_L 	 15.65 	 2.07 	 87 
	 Occipital 	 Fusiform_L 	 14.81 	 2.06 	 92 
	 Frontal 	 Frontal_Sup_R 	 14.44 	 2.11 	 105 
	 Frontal 	 Frontal_Sup_L 	 14.29 	 2.07 	 87 
	 Frontal 	 Frontal_Mid_Orb_L 	 14.14 	 2.26 	 28 
	 Occipital 	 Fusiform_R 	 13.28 	 1.91 	 92 
	 Occipital 	 Occipital_Inf_R 	 12.68 	 1.93 	 36 
	 Occipital 	 Calcarine_L 	 12.66 	 1.85 	 71 
	 Frontal 	 Olfactory_R 	 12.50 	 1.91 	 7 
	 Limbic 	 Insula_R 	 12.08 	 2.18 	 50 
	 Frontal 	 Frontal_Mid_R 	 10.92 	 2.01 	 122 
	 Occipital 	 Occipital_Inf_L 	 10.88 	 1.79 	 26 
	 Occipital 	 Occipital_Mid_L 	 10.73 	 1.93 	 91 
	 Temporal 	 Temporal_Pole_Sup_R 	 10.53 	 2.01 	 26 

6	 Limbic 	 Insula_R 	 71.26 	 2.62 	 295 
	 Temporal 	 Heschl_L 	 68.06 	 2.97 	 49 
	 Subcortical 	 Putamen_R 	 64.89 	 2.34 	 146 
	 Central 	 Rolandic_Oper_R 	 64.83 	 2.56 	 188 
	 Limbic 	 Amygdala_L 	 64.71 	 1.90 	 33 
	 Central 	 Rolandic_Oper_L 	 62.50 	 2.72 	 140 
	 Limbic 	 Hippocampus_L 	 60.87 	 2.14 	 112 
	 Temporal 	 Heschl_R 	 57.75 	 2.66 	 41 
	 Limbic 	 Amygdala_R 	 51.85 	 1.97 	 28 
	 Limbic 	 Insula_L 	 49.05 	 2.62 	 233 
	 Subcortical 	 Pallidum_R 	 47.37 	 2.51 	 9 
	 Limbic 	 Hippocampus_R 	 47.12 	 2.27 	 90 
	 Subcortical 	 Putamen_L 	 43.46 	 2.11 	 83 
	 Temporal 	 Temporal_Sup_L 	 40.62 	 2.32 	 249 
	 Limbic 	 Cingulum_Mid_L 	 31.03 	 2.21 	 162 
	 Frontal 	 Frontal_Inf_Oper_R 	 29.32 	 2.11 	 95 
	 Occipital 	 Fusiform_L 	 28.50 	 2.03 	 177 
	 Limbic 	 ParaHippocampal_L 	 27.85 	 1.93 	 66 
	 Parietal 	 SupraMarginal_L 	 27.81 	 2.26 	 84 
	 Parietal 	 SupraMarginal_R 	 27.77 	 2.22 	 133 
	 Limbic 	 Cingulum_Mid_R 	 27.75 	 2.23 	 154 
	 Limbic 	 ParaHippocampal_R 	 27.57 	 2.18 	 75 
	 Frontal 	 Frontal_Inf_Tri_R 	 25.69 	 1.97 	 112 
	 Frontal 	 Supp_Motor_Area_L 	 23.82 	 2.21 	 111 
	 Frontal 	 Supp_Motor_Area_R 	 22.69 	 2.28 	 108 
	 Occipital 	 Fusiform_R 	 22.66 	 1.99 	 157 
	 Frontal 	 Frontal_Inf_Oper_L 	 21.40 	 2.06 	 49 
	 Temporal 	 Temporal_Sup_R 	 20.77 	 2.25 	 167 
	 Subcortical 	 Thalamus_L 	 17.29 	 1.85 	 23 
	 Occipital 	 Lingual_L 	 15.11 	 1.76 	 84 
	 Subcortical 	 Pallidum_L 	 14.71 	 1.97 	 5 
	 Frontal 	 Olfactory_R 	 14.29 	 1.90 	 8 
	 Temporal 	 Temporal_Pole_Sup_L 	 14.29 	 1.98 	 33 
	 Parietal 	 Postcentral_L 	 13.85 	 2.05 	 110 
	 Temporal 	 Temporal_Inf_L 	 13.60 	 1.85 	 107 
	 Temporal 	 Temporal_Pole_Sup_R 	 12.55 	 2.02 	 31 
	 Subcortical 	 Thalamus_R 	 11.80 	 1.81 	 19 
	 Limbic 	 Cingulum_Ant_R 	 10.85 	 2.00 	 41 
	 Frontal 	 Frontal_Inf_Orb_R 	 10.21 	 1.88 	 43 
	 Frontal 	 Precentral_L 	 10.09 	 1.80 	 69 

7	 Subcortical 	 Thalamus_L 	 72.18 	 2.27 	 96 
	 Limbic 	 Hippocampus_L 	 59.78 	 2.21 	 110 
	 Frontal 	 Frontal_Sup_Orb_R 	 56.65 	 2.46 	 132 
	 Temporal 	 Temporal_Pole_Mid_L 	 53.67 	 2.15 	 95 
	 Subcortical 	 Thalamus_R 	 44.72 	 2.32 	 72 
	 Limbic 	 ParaHippocampal_R 	 43.75 	 2.15 	 119 
	 Parietal 	 Paracentral_Lobule_R 	 42.11 	 2.47 	 56 
	 Limbic 	 Hippocampus_R 	 41.88 	 2.11 	 80 
	 Occipital 	 Fusiform_L 	 40.26 	 2.06 	 250 
	 Occipital 	 Fusiform_R 	 38.82 	 2.15 	 269 
	 Temporal 	 Temporal_Inf_L 	 38.37 	 2.17 	 302 
	 Frontal 	 Frontal_Mid_Orb_L 	 37.88 	 2.04 	 75 
	 Limbic 	 Amygdala_L 	 37.25 	 1.81 	 19 
	 Frontal 	 Frontal_Mid_Orb_R 	 36.65 	 2.33 	 92 
	 Temporal 	 Temporal_Inf_R 	 36.06 	 2.13 	 344 
	 Frontal 	 Rectus_R 	 34.03 	 2.46 	 65 
	 Frontal 	 Frontal_Sup_Orb_L 	 32.22 	 2.52 	 77 
	 Frontal 	 Frontal_Inf_Orb_L 	 30.73 	 2.41 	 134 
	 Subcortical 	 Caudate_R 	 30.29 	 2.11 	 53 
	 Limbic 	 Amygdala_R 	 29.63 	 2.01 	 16 
	 Occipital 	 Lingual_L 	 29.50 	 2.21 	 164 
	 Frontal 	 Olfactory_L 	 27.94 	 1.96 	 19 
	 Limbic 	 ParaHippocampal_L 	 27.00 	 2.10 	 64 
	 Frontal 	 Olfactory_R 	 26.79 	 2.16 	 15 
	 Frontal 	 Rectus_L 	 26.09 	 2.17 	 54 
	 Temporal 	 Temporal_Pole_Sup_L 	 25.54 	 2.13 	 59 
	 Parietal 	 Paracentral_Lobule_L 	 24.60 	 2.61 	 61 
	 Temporal 	 Temporal_Pole_Mid_R 	 22.08 	 1.92 	 51 
	 Occipital 	 Occipital_Inf_R 	 21.13 	 2.00 	 60 
	 Subcortical 	 Caudate_L 	 19.79 	 1.74 	 37 
	 Frontal 	 Frontal_Inf_Orb_R 	 18.53 	 2.41 	 78 
	 Subcortical 	 Putamen_R 	 17.78 	 1.86 	 40 
	 Parietal 	 Precuneus_L 	 15.52 	 2.42 	 128 
	 Limbic 	 Cingulum_Mid_R 	 14.77 	 1.93 	 82 
	 Occipital 	 Calcarine_L 	 14.26 	 2.25 	 80 
	 Occipital 	 Occipital_Inf_L 	 14.23 	 1.90 	 34 
	 Occipital 	 Lingual_R 	 13.45 	 2.19 	 74 
	 Occipital 	 Cuneus_L 	 12.73 	 1.95 	 49 
	 Occipital 	 Calcarine_R 	 12.16 	 2.11 	 54 
	 Occipital 	 Occipital_Sup_R 	 10.59 	 1.86 	 36 
	 Parietal 	 Precuneus_R 	 10.17 	 2.32 	 72 
	 Temporal 	 Temporal_Mid_L 	 10.10 	 1.87 	 123 
	 Parietel 	 Parietal_Sup_R 	 10.05 	 2.42 	 41 

8	 Central 	 Rolandic_Oper_L 	 61.61 	 2.78 	 138 
	 Limbic 	 Insula_R 	 53.14 	 2.51 	 220 
	 Frontal 	 Frontal_Inf_Oper_L 	 48.91 	 2.30 	 112 
	 Frontal 	 Frontal_Inf_Oper_R 	 47.84 	 2.82 	 155 
	 Limbic 	 Insula_L 	 46.32 	 2.58 	 220 
	 Temporal 	 Heschl_L 	 45.83 	 2.28 	 33 
	 Central 	 Rolandic_Oper_R 	 42.07 	 2.59 	 122 
	 Frontal 	 Frontal_Inf_Tri_L 	 38.61 	 2.43 	 195 
	 Frontal 	 Frontal_Inf_Tri_R 	 33.49 	 2.32 	 146 
	 Limbic 	 Amygdala_L 	 31.37 	 1.82 	 16 
	 Temporal 	 Temporal_Sup_L 	 30.02 	 2.37 	 184 
	 Temporal 	 Heschl_R 	 28.17 	 2.54 	 20 
	 Frontal 	 Frontal_Mid_L 	 26.58 	 2.48 	 252 
	 Limbic 	 Amygdala_R 	 25.93 	 1.88 	 14 
	 Limbic 	 Hippocampus_R 	 23.56 	 2.09 	 45 
	 Subcortical 	 Putamen_R 	 22.22 	 1.99 	 50 
	 Limbic 	 Hippocampus_L 	 21.74 	 2.00 	 40 
	 Subcortical 	 Putamen_L 	 21.47 	 1.84 	 41 
	 Frontal 	 Precentral_L 	 21.05 	 2.34 	 144 
	 Subcortical 	 Pallidum_R 	 21.05 	 2.29 	 4 
	 Frontal 	 Olfactory_L 	 20.59 	 2.64 	 14 
	 Parietal 	 Paracentral_Lobule_R 	 19.55 	 1.98 	 26 
	 Temporal 	 Temporal_Sup_R 	 18.03 	 2.16 	 145 
	 Temporal 	 Temporal_Pole_Sup_R 	 17.00 	 2.28 	 42 
	 Parietal 	 Paracentral_Lobule_L 	 16.94 	 1.92 	 42 
	 Parietal 	 SupraMarginal_L 	 16.23 	 2.01 	 49 
	 Occipital 	 Lingual_R 	 15.82 	 1.96 	 87 
	 Occipital 	 Occipital_Inf_L 	 15.06 	 1.93 	 36 
	 Frontal 	 Supp_Motor_Area_L 	 15.02 	 2.03 	 70 
	 Temporal 	 Temporal_Mid_R 	 14.99 	 2.20 	 177 
	 Occipital 	 Lingual_L 	 14.93 	 1.98 	 83 
	 Temporal 	 Temporal_Inf_R 	 14.47 	 2.19 	 138 
	 Frontal 	 Precentral_R 	 14.14 	 2.28 	 99 
	 Limbic 	 Cingulum_Ant_R 	 14.02 	 1.82 	 53 
	 Occipital 	 Occipital_Inf_R 	 13.38 	 1.92 	 38 
	 Occipital 	 Fusiform_L 	 13.20 	 2.09 	 82 
	 Frontal 	 Frontal_Mid_R 	 13.07 	 2.10 	 146 
	 Occipital 	 Fusiform_R 	 12.70 	 2.00 	 88 
	 Limbic 	 ParaHippocampal_L 	 12.66 	 1.99 	 30 
	 Parietal 	 Postcentral_R 	 11.58 	 2.14 	 96 
	 Frontal 	 Frontal_Sup_L 	 11.00 	 2.12 	 67 
	 Subcortical 	 Caudate_R 	 10.86 	 1.82 	 19 

9	 Parietal 	 Angular_L 	 67.88 	 2.61 	 205 
	 Limbic 	 Cingulum_Post_L 	 55.43 	 2.57 	 51 
	 Limbic 	 Cingulum_Post_R 	 47.50 	 2.26 	 19 
	 Occipital 	 Occipital_Mid_L 	 42.81 	 2.41 	 363 
	 Parietal 	 Parietal_Inf_L 	 40.75 	 2.51 	 240 
	 Occipital 	 Calcarine_L 	 38.15 	 2.14 	 214 
	 Occipital 	 Cuneus_L 	 34.55 	 2.05 	 133 
	 Occipital 	 Calcarine_R 	 34.46 	 2.12 	 153 
	 Occipital 	 Occipital_Sup_L 	 33.77 	 2.44 	 102 
	 Parietal 	 Precuneus_L 	 29.94 	 2.30 	 247 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 27.68 	 1.96 	 49 
	 Parietal 	 Precuneus_R 	 27.68 	 2.13 	 196 
	 Occipital 	 Cuneus_R 	 25.70 	 1.98 	 101 
	 Frontal 	 Rectus_L 	 24.15 	 1.83 	 50 
	 Occipital 	 Occipital_Mid_R 	 24.14 	 2.12 	 126 
	 Parietal 	 Angular_R 	 23.21 	 2.18 	 97 
	 Frontal 	 Frontal_Mid_L 	 23.00 	 2.51 	 218 
	 Occipital 	 Occipital_Sup_R 	 22.35 	 2.06 	 76 
	 Parietal 	 Parietal_Sup_L 	 21.76 	 2.27 	 94 
	 Parietal 	 Parietal_Inf_R 	 20.64 	 2.02 	 71 
	 Subcortical 	 Caudate_R 	 20.57 	 1.94 	 36 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 18.64 	 1.85 	 41 
	 Frontal 	 Precentral_L 	 17.98 	 2.30 	 123 
	 Frontal 	 Olfactory_R 	 17.86 	 2.57 	 10 
	 Occipital 	 Occipital_Inf_R 	 17.25 	 1.85 	 49 
	 Frontal 	 Frontal_Sup_Orb_L 	 17.15 	 2.01 	 41 
	 Frontal 	 Frontal_Sup_Medial_R 	 16.34 	 2.14 	 67 
	 Temporal 	 Temporal_Mid_L 	 16.17 	 1.97 	 197 
	 Occipital 	 Lingual_R 	 15.45 	 1.95 	 85 
	 Parietal 	 Postcentral_L 	 14.99 	 1.86 	 119 
	 Frontal 	 Frontal_Sup_Orb_R 	 13.73 	 2.00 	 32 
	 Frontal 	 Frontal_Sup_R 	 12.93 	 1.98 	 94 
	 Parietal 	 Paracentral_Lobule_R 	 12.78 	 1.86 	 17 
	 Subcortical 	 Caudate_L 	 12.30 	 1.90 	 23 
	 Occipital 	 Occipital_Inf_L 	 12.13 	 1.99 	 29 
	 Frontal 	 Frontal_Sup_L 	 11.66 	 2.17 	 71 
	 Frontal 	 Frontal_Sup_Medial_L 	 11.62 	 1.92 	 58 
	 Frontal 	 Frontal_Inf_Tri_L 	 11.29 	 1.87 	 57 
	 Temporal 	 Temporal_Pole_Mid_R 	 11.26 	 1.98 	 26 
	 Parietal 	 Postcentral_R 	 10.86 	 1.98 	 90 
	 Occipital 	 Lingual_L 	 10.61 	 2.24 	 59 
	 Limbic 	 Cingulum_Mid_L 	 10.54 	 2.01 	 55 
	 Limbic 	 Cingulum_Mid_R 	 10.45 	 2.27 	 58 

10	 Temporal 	 Temporal_Pole_Mid_L 	 49.15 	 3.03 	 87 
	 Occipital 	 Fusiform_L 	 41.06 	 2.42 	 255 
	 Occipital 	 Occipital_Inf_L 	 34.73 	 2.38 	 83 
	 Occipital 	 Occipital_Inf_R 	 33.80 	 2.50 	 96 
	 Temporal 	 Temporal_Inf_L 	 27.95 	 2.38 	 220 
	 Subcortical 	 Thalamus_R 	 27.33 	 2.10 	 44 
	 Subcortical 	 Thalamus_L 	 27.07 	 2.30 	 36 
	 Temporal 	 Temporal_Pole_Sup_L 	 25.97 	 2.54 	 60 
	 Parietal 	 SupraMarginal_L 	 24.17 	 2.04 	 73 
	 Limbic 	 Cingulum_Ant_L 	 24.03 	 2.03 	 93 
	 Occipital 	 Lingual_R 	 23.45 	 2.11 	 129 
	 Limbic 	 Cingulum_Ant_R 	 23.28 	 2.01 	 88 
	 Occipital 	 Lingual_L 	 23.02 	 2.37 	 128 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 21.47 	 2.09 	 38 
	 Occipital 	 Calcarine_L 	 21.21 	 2.43 	 119 
	 Frontal 	 Frontal_Inf_Orb_L 	 20.87 	 2.29 	 91 
	 Limbic 	 Cingulum_Mid_L 	 20.31 	 1.97 	 106 
	 Frontal 	 Frontal_Mid_Orb_L 	 20.20 	 1.96 	 40 
	 Frontal 	 Frontal_Sup_Orb_L 	 19.67 	 2.13 	 47 
	 Subcortical 	 Caudate_L 	 18.72 	 1.87 	 35 
	 Occipital 	 Fusiform_R 	 18.47 	 2.20 	 128 
	 Limbic 	 ParaHippocampal_L 	 18.14 	 2.12 	 43 
	 Subcortical 	 Putamen_L 	 17.80 	 1.90 	 34 
	 Parietel 	 Parietal_Sup_R 	 17.65 	 1.96 	 72 
	 Limbic 	 Hippocampus_L 	 16.30 	 2.22 	 30 
	 Temporal 	 Temporal_Inf_R 	 15.93 	 2.03 	 152 
