iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
1	 Parietal 	 Angular_L 	 44.37 	 2.03 	 134 
	 Parietal 	 Parietal_Inf_L 	 42.28 	 2.28 	 249 
	 Temporal 	 Temporal_Sup_R 	 41.79 	 2.23 	 336 
	 Parietal 	 Parietal_Sup_L 	 40.97 	 2.26 	 177 
	 Occipital 	 Occipital_Mid_L 	 39.50 	 2.34 	 335 
	 Parietal 	 Angular_R 	 38.28 	 2.03 	 160 
	 Temporal 	 Heschl_R 	 36.62 	 2.03 	 26 
	 Frontal 	 Frontal_Inf_Oper_L 	 34.06 	 2.22 	 78 
	 Central 	 Rolandic_Oper_R 	 33.79 	 1.97 	 98 
	 Temporal 	 Temporal_Mid_R 	 32.77 	 2.17 	 387 
	 Occipital 	 Occipital_Mid_R 	 32.76 	 2.05 	 171 
	 Parietal 	 Parietal_Inf_R 	 31.98 	 2.18 	 110 
	 Parietal 	 Postcentral_L 	 30.48 	 2.13 	 242 
	 Frontal 	 Precentral_L 	 30.26 	 2.20 	 207 
	 Occipital 	 Occipital_Sup_L 	 29.14 	 2.31 	 88 
	 Parietal 	 Postcentral_R 	 27.74 	 2.17 	 230 
	 Frontal 	 Frontal_Inf_Oper_R 	 27.47 	 2.00 	 89 
	 Parietal 	 SupraMarginal_R 	 25.68 	 2.12 	 123 
	 Limbic 	 Cingulum_Post_L 	 25.00 	 1.99 	 23 
	 Limbic 	 Cingulum_Post_R 	 25.00 	 2.13 	 10 
	 Occipital 	 Occipital_Sup_R 	 25.00 	 1.96 	 85 
	 Occipital 	 Calcarine_R 	 23.87 	 2.03 	 106 
	 Temporal 	 Temporal_Sup_L 	 23.82 	 1.93 	 146 
	 Occipital 	 Cuneus_L 	 22.60 	 2.17 	 87 
	 Occipital 	 Calcarine_L 	 21.39 	 1.96 	 120 
	 Limbic 	 Cingulum_Mid_L 	 21.26 	 2.01 	 111 
	 Occipital 	 Cuneus_R 	 19.59 	 1.99 	 77 
	 Parietal 	 Precuneus_R 	 18.79 	 2.07 	 133 
	 Frontal 	 Frontal_Inf_Tri_L 	 17.62 	 2.04 	 89 
	 Limbic 	 Cingulum_Mid_R 	 16.22 	 1.90 	 90 
	 Parietal 	 Precuneus_L 	 15.64 	 1.94 	 129 
	 Frontal 	 Precentral_R 	 15.43 	 1.98 	 108 
	 Temporal 	 Heschl_L 	 15.28 	 1.70 	 11 
	 Temporal 	 Temporal_Mid_L 	 14.70 	 1.85 	 179 
	 Parietal 	 SupraMarginal_L 	 13.25 	 1.85 	 40 
	 Central 	 Rolandic_Oper_L 	 10.71 	 1.87 	 24 
	 Frontal 	 Frontal_Inf_Tri_R 	 10.32 	 1.89 	 45 

2	 Occipital 	 Calcarine_R 	 48.42 	 2.12 	 215 
	 Occipital 	 Lingual_R 	 47.09 	 2.17 	 259 
	 Occipital 	 Lingual_L 	 35.79 	 2.09 	 199 
	 Occipital 	 Cuneus_L 	 35.32 	 2.04 	 136 
	 Occipital 	 Calcarine_L 	 35.12 	 2.10 	 197 
	 Occipital 	 Cuneus_R 	 34.10 	 2.14 	 134 
	 Occipital 	 Occipital_Inf_R 	 32.75 	 2.01 	 93 
	 Occipital 	 Fusiform_R 	 26.41 	 2.06 	 183 
	 Occipital 	 Fusiform_L 	 25.12 	 1.95 	 156 
	 Occipital 	 Occipital_Mid_R 	 24.14 	 2.04 	 126 
	 Parietal 	 Precuneus_R 	 23.02 	 1.98 	 163 
	 Occipital 	 Occipital_Inf_L 	 19.67 	 1.86 	 47 
	 Temporal 	 Temporal_Mid_L 	 18.80 	 1.86 	 229 
	 Temporal 	 Temporal_Pole_Mid_R 	 18.61 	 1.92 	 43 
	 Temporal 	 Temporal_Pole_Sup_R 	 17.81 	 1.92 	 44 
	 Parietel 	 Parietal_Sup_R 	 17.65 	 1.93 	 72 
	 Temporal 	 Temporal_Inf_R 	 16.98 	 1.86 	 162 
	 Occipital 	 Occipital_Sup_R 	 16.47 	 2.04 	 56 
	 Limbic 	 Amygdala_L 	 15.69 	 1.72 	 8 
	 Temporal 	 Temporal_Inf_L 	 14.74 	 1.82 	 116 
	 Parietal 	 Precuneus_L 	 14.42 	 1.93 	 119 
	 Limbic 	 Cingulum_Post_R 	 12.50 	 2.06 	 5 
	 Temporal 	 Temporal_Mid_R 	 12.28 	 1.94 	 145 
	 Occipital 	 Occipital_Sup_L 	 12.25 	 1.91 	 37 
	 Limbic 	 Cingulum_Post_L 	 11.96 	 1.82 	 11 
	 Limbic 	 ParaHippocampal_R 	 10.29 	 1.99 	 28 

3	 Parietal 	 Postcentral_L 	 47.73 	 2.26 	 379 
	 Occipital 	 Cuneus_R 	 42.75 	 2.35 	 168 
	 Temporal 	 Heschl_R 	 42.25 	 2.26 	 30 
	 Parietal 	 SupraMarginal_L 	 39.07 	 2.08 	 118 
	 Occipital 	 Calcarine_R 	 37.84 	 2.11 	 168 
	 Central 	 Rolandic_Oper_R 	 35.86 	 2.22 	 104 
