   0.0000000e+00  -1.0824674e-14   0.0000000e+00  -5.6597994e-73 -2.1289799e-109   3.2203647e-37
   2.3758099e-03  -6.2430476e-02  -5.1265449e-02   5.2594171e-04   4.6991366e-04   3.5331415e-04
  -3.2676639e-03   1.2032692e-03  -2.5321149e-02   2.2647722e-04   3.7526638e-04   3.0182108e-04
  -1.4749062e-02  -1.1352184e-01  -1.9031136e-01   1.8340412e-03   1.1508568e-03   3.3255427e-05
  -2.2997460e-03  -1.8531100e-01  -3.0530897e-01   1.5324382e-03   9.7679859e-04   3.9641061e-04
   1.2077903e-03  -1.6268608e-01  -2.7357471e-01   1.0104155e-03   5.6795658e-04   3.8851022e-04
   9.6304215e-03  -2.0024547e-01  -2.8411825e-01   1.0425663e-03   8.2884334e-04   4.7286240e-04
   2.8294900e-02  -1.3310417e-01  -2.8105654e-01   6.8632882e-04   1.1616626e-03   6.0419500e-04
   1.3266616e-02  -2.1554011e-01  -3.3592065e-01   1.1582283e-03   1.2662868e-03   6.5481205e-04
   1.1431134e-02  -1.2903876e-01  -3.1407988e-01   1.0285896e-03   1.4630043e-03   3.2711164e-04
  -3.9019017e-04  -2.1473281e-01  -3.4732859e-01   1.6202584e-03   1.7236817e-03   4.3687747e-04
  -5.9075797e-04  -2.4240361e-01  -4.1792830e-01   1.6831490e-03   2.2357734e-03   5.8593660e-04
   1.1867796e-02  -2.6953730e-01  -4.5619847e-01   1.6621924e-03   2.6754480e-03   9.5677797e-04
   4.4437250e-02  -2.7857254e-01  -4.9464749e-01   1.7320870e-03   2.8922345e-03   1.5846808e-03
   4.8950812e-02  -2.9548616e-01  -5.0747189e-01   1.4331559e-03   2.4121511e-03   1.7950826e-03
   4.6594649e-02  -2.6720596e-01  -5.0609140e-01   1.5219657e-03   2.1662218e-03   1.2587385e-03
   4.7063412e-02  -2.1739875e-01  -5.3451672e-01   1.6341639e-03   2.1056566e-03   1.2046354e-03
   4.4874547e-02  -2.7573670e-01  -6.1663821e-01   2.8127208e-03   2.6303770e-03   1.3234228e-03
   4.6502121e-02  -2.1434714e-01  -6.0334259e-01   2.2392741e-03   2.8393111e-03   9.8002367e-04
   3.6899845e-02  -2.3553926e-01  -5.5349809e-01   1.8740953e-03   2.4960182e-03   8.1901849e-04
   1.4641465e-02  -2.9218957e-01  -5.2986809e-01   2.0787914e-03   2.3202581e-03   5.9208664e-04
   1.5523327e-02  -3.0311840e-01  -5.2510493e-01   1.6760523e-03   2.3103061e-03   7.2497946e-04
   2.3403129e-02  -2.8482029e-01  -5.3753024e-01   1.7916978e-03   2.8832175e-03   9.3262540e-04
   3.1964901e-02  -3.8533934e-01  -6.6522721e-01   3.1138478e-03   3.8409264e-03   1.5820613e-03
   8.2826235e-02  -4.8055853e-01  -7.7508931e-01   3.3256117e-03   5.9078912e-03   3.7379415e-03
   1.0154636e-01  -5.0170760e-01  -8.4269282e-01   3.8269255e-03   6.3530056e-03   4.6594683e-03
   1.2840620e-01  -5.0255770e-01  -9.1353594e-01   4.7320857e-03   6.2338386e-03   4.8610030e-03
   8.7622993e-02  -5.5469293e-01  -1.0592259e+00   5.5273212e-03   5.2555590e-03   3.8886224e-03
   6.3238192e-02  -5.5174841e-01  -1.1279667e+00   6.3274977e-03   4.6910205e-03   3.1587778e-03
   7.9301034e-02  -5.0390621e-01  -1.0921503e+00   6.4409616e-03   4.6546822e-03   2.9144461e-03
   8.3692263e-02  -4.7954304e-01  -1.0467952e+00   5.7783187e-03   4.2490051e-03   2.3620366e-03
   9.9759661e-02  -5.5748623e-01  -1.1551204e+00   5.6976629e-03   5.3047432e-03   3.3020759e-03
   1.3862240e-01  -6.4619108e-01  -1.2856675e+00   7.7909646e-03   6.6559606e-03   4.1084076e-03
   1.7069003e-01  -6.8864950e-01  -1.2503427e+00   6.9648714e-03   7.1405665e-03   5.1905372e-03
   1.7594319e-01  -6.8708265e-01  -1.2278166e+00   6.9408625e-03   7.0340886e-03   5.7221479e-03
   1.3559880e-01  -6.5768274e-01  -1.1643873e+00   6.4268405e-03   5.9812410e-03   4.3667635e-03
   1.5495185e-01  -7.2684845e-01  -1.3091410e+00   7.6064711e-03   6.9789634e-03   5.2435130e-03
   2.4187451e-01  -7.9360118e-01  -1.3825659e+00   8.3752101e-03   7.9670424e-03   6.3636519e-03
   2.1027415e-01  -7.4902288e-01  -1.2959241e+00   7.1769928e-03   6.3699029e-03   5.4304214e-03
   1.6385145e-01  -7.2837922e-01  -1.2719933e+00   6.4944569e-03   6.3654884e-03   5.0454502e-03
   1.7566717e-01  -7.8914285e-01  -1.4212206e+00   9.7000520e-03   6.9435533e-03   5.1494150e-03
   1.7941442e-01  -5.0797896e-01  -9.8984712e-01   4.5188823e-03   5.2789994e-03   4.1862548e-03
   2.1759720e-01  -5.6766261e-01  -1.0414902e+00   4.4348300e-03   5.3700353e-03   4.7529747e-03
   1.8943496e-01  -5.7146724e-01  -1.0400702e+00   5.0338928e-03   5.2265099e-03   4.6908924e-03
   1.3470704e-01  -5.5395938e-01  -1.1229916e+00   4.9810963e-03   5.4864946e-03   4.0295950e-03
   1.2615411e-01  -5.1715093e-01  -1.0781614e+00   5.5732527e-03   5.7653263e-03   3.6307959e-03
   1.4409015e-01  -5.7481328e-01  -1.0507353e+00   5.7984842e-03   6.1983526e-03   4.1923413e-03
   1.4719097e-01  -4.9584990e-01  -9.5975858e-01   4.7892103e-03   5.9997885e-03   4.2110625e-03
   1.5794578e-01  -6.1602924e-01  -1.0323332e+00   5.8433755e-03   6.3683345e-03   4.8314941e-03
   2.1688213e-01  -6.6549801e-01  -1.1731035e+00   6.6677057e-03   7.6735413e-03   6.5938203e-03
   2.5060480e-01  -8.8440966e-01  -1.5041247e+00   1.0176823e-02   9.3703683e-03   8.2620396e-03
